Once ^rb+tm+++=Once
both ^abx++++=both
genres ^nns+++??+=genres
circulate ^nn+nom+++=circulate
across ^in+pl+++=across
various ^jj+atrb+++=various
contexts ^nns++++=contexts
including ^in++++=including
production ^nn+nom+++=production,
, ^zz++++=EXTRAWORD
legitimation ^nn+nom+++=legitimation,
, ^zz++++=EXTRAWORD
publication ^nn+nom+++=publication,
, ^zz++++=EXTRAWORD
distribution ^nn+nom+++=distribution,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
preservation ^nn+nom+++=preservation
( ^zz++++=(cf.
cf ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Khosrowjerdi ^np+++??+=Khosrowjerdi,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011)
) ^zz++++=EXTRAWORD
the ^ati++++=the
contextual ^nn+nom+++=contextual
Tsa ^np+++??+=TSA
concentrated ^vbd+++xvbn+=concentrated
on ^in++++=on
the ^ati++++=the
contexts ^nns++++=contexts
in ^in++++=in
which ^whp+rel+pied++=which
students ^nns++++=students
actively ^rb++++=actively
participate ^nn+nom+++=participate,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning
with ^in++++=with
the ^ati++++=the
production ^nn+nom+++=production
and ^cc++++=and
concluding ^jj+++xvbg+=concluding
with ^in++++=with
the ^ati++++=the
publication ^nn+nom+++=publication
of ^in++++=of
research ^nn++++=research
articles ^nns++++=articles.
. ^zz++++=EXTRAWORD
Multiple ^jj+atrb+++=Multiple
actors ^nns++++=actors,
, ^zz++++=EXTRAWORD
institutions ^nns+nom+++=institutions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
factors ^nns++++=factors
are ^vb+ber+aux++=are
involved ^vpsv++agls+xvbnx+=involved
in ^in++++=in
these ^dt+dem+++=these
processes ^nns+nom+++=processes,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
referees ^nns+nom+++=referees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
funding ^jj+atrb++xvbg+=funding
agencies ^nns++++=agencies.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
contextual ^jj+atrb+++=contextual
analysis ^nn++++=analysis
primarily ^rb+down+++=primarily
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
production ^nn+nom+++=production
and ^cc++++=and
publication ^nn+nom+++=publication
of ^in++++=of
research ^nn++++=research
articles ^nns++++=articles
in ^in++++=in
high ^jj++++=high-impact
- ^zz++++=EXTRAWORD
impact ^nn++++=EXTRAWORD
journals ^nns+nom+++=journals
from ^in++++=from
the ^ati++++=the
perspective ^nn++++=perspective
of ^in++++=of
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
represent ^vb++++=represent
the ^ati++++=the
professional ^jj+atrb+++=professional
roles ^nns++++=roles
that ^tht+rel+obj++=that
the ^ati++++=the
target ^nn++++=target
students ^nns++++=students
aspire ^vb++++=aspire
to ^to++++=to
assume ^vbi+vprv+++=assume
in ^in++++=in
the ^ati++++=the
near ^in+pl+++=near
future ^nn++++=future.
. ^zz++++=EXTRAWORD
