Interventionist ^np+nom++??+=Interventionist
research ^nn++++=research
has ^vbz+hvz+aux++=has
examined ^vprf+++xvbnx+=examined
and ^cc+phrs+++=and
identified ^vbd+++xvbn+=identified
specific ^jj+atrb+++=specific
forms ^nns++++=forms
of ^in++++=of
enhanced ^jj+atrb++xvbn+=enhanced
teacher ^nn++++=teacher-student
- ^zz++++=EXTRAWORD
student ^nn++++=EXTRAWORD
interactions ^nns+nom+++=interactions
that ^tht+rel+subj++=that
facilitate ^nn+nom+++=facilitate
teaching ^nvbg+++xvbg+=teaching
and ^cc++++=and
learning ^nn+vprv++xvbg+=learning
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mercer ^np++++=Mercer,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
key ^jjb++++=key
finding ^jj+++xvbg+=finding
from ^in++++=from
this ^dt+dem+++=this
body ^nn++++=body
of ^in++++=of
work ^nn++++=work
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
classroom ^nn++++=classroom
discourse ^nn++++=discourse
significantly ^rb++++=significantly
influences ^nns+nom+++=influences
the ^ati++++=the
learning ^jj+atrb++xvbg+=learning
opportunities ^nns+nom+++=opportunities
available ^jj++++=available
to ^in++++=to
students ^nns++++=students
( ^zz++++=(Howe
howe ^np++++=EXTRAWORD
& ^zz++++=&
Mercer ^np++++=Mercer,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007;
; ^zz++++=EXTRAWORD
Kelly ^np+++??+=Kelly,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Lemke ^np+++??+=Lemke,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^ql++++=As
Nystrand ^np+++??+=Nystrand
( ^zz++++=(1997,
1997 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
29 ^cd++++=29)
) ^zz++++=EXTRAWORD
states ^nns++++=states,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
quality ^nn+nom+++=quality
of ^in++++=of
student ^nn++++=student
learning ^vwbg+++xvbg+=learning
is ^vbz+bez+aux++=is
closely ^rb++splt++=closely
linked ^vpsv++agls+xvbn+=linked
to ^in++++=to
the ^ati++++=the
quality ^nn+nom+++=quality
of ^in++++=of
classroom ^nn++++=classroom
talk ^nn++++=talk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
