Archiving ^np+++??+=Archiving
supports ^nns++++=supports
effective ^jj+atrb+++=effective
personal ^jj+atrb+++=personal
data ^nns++++=data
management ^nn+nom+++=management
by ^in++++=by
providing ^xvbg+++xvbg+=providing
a ^at++++=a
systematic ^jj+atrb+++=systematic
approach ^nn++++=approach
to ^to++++=to
organizing ^vbg+++xvbg+=organizing
research ^nn++++=research
materials ^nns+nom+++=materials.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
researchers ^nns+nom+++=researchers
may ^md+pos+++=may
initially ^rb+tm+splt++=initially
recall ^vb+vprv+++=recall
the ^ati++++=the
locations ^nns+nom+++=locations
and ^cc++++=and
organization ^nn+nom+++=organization
of ^in++++=of
their ^pp$+pp3+++=their
files ^nns++++=files
shortly ^rb+tm+++=shortly
after ^in++++=after
fieldwork ^nn+++??+=fieldwork,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
familiarity ^nn+nom+++=familiarity
typically ^rb++++=typically
diminishes ^vbz++++=diminishes
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
it ^pp3+it+++=it
increasingly ^rb++++=increasingly
difficult ^jj++++=difficult
to ^to+jcmp+++=to
locate ^vbi++++=locate
files ^nns++++=files,
, ^zz++++=EXTRAWORD
understand ^vb+vprv+++=understand
their ^pp$+pp3+++=their
organizational ^jj+atrb+++=organizational
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
determine ^vb++++=determine
their ^pp$+pp3+++=their
interrelationships ^nns+nom+++=interrelationships,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
access ^nn++++=access
the ^ati++++=the
necessary ^jj+atrb+++=necessary
metadata ^nn+++??+=metadata
for ^in++++=for
future ^jjb+atrb+++=future
reuse ^nn+++??+=reuse
by ^in++++=by
themselves ^ppls+pp3+++=themselves
or ^cc++++=or
others ^aps++++=others.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
challenge ^nn++++=challenge
is ^vbz+bez+aux++=is
particularly ^rb++splt++=particularly
pronounced ^vpsv++agls+xvbnx+=pronounced
for ^in++++=for
digital ^jj+atrb+++=digital
files ^nns++++=files,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
often ^rb++++=often
lack ^nn++++=lack
distinguishing ^vwbg+++xvbg+=distinguishing
physical ^jj+atrb+++=physical
features ^nns++++=features
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
require ^vb+vsua+++=require
opening ^nvbg+++xvbg+=opening
or ^cc++++=or
viewing ^nvbg+++xvbg+=viewing
to ^to++++=to
identify ^vbi++++=identify
their ^pp$+pp3+++=their
contents ^nns++++=contents.
. ^zz++++=EXTRAWORD
Promptly ^rb++++=Promptly
archiving ^jj+atrb++xvbg+=archiving
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation
data ^nns++++=data
and ^cc++++=and
associated ^vbd+++xvbn+=associated
metadata ^nn+++??+=metadata
in ^in++++=in
a ^at++++=a
reliable ^jj+atrb+++=reliable
repository ^nn++++=repository
addresses ^nns+nom+++=addresses
these ^dt+dem+++=these
issues ^nns++++=issues
by ^in++++=by
ensuring ^vb+vprv++xvbg+=ensuring
that ^tht+vcmp+++=that
materials ^nns+nom+++=materials
can ^md+pos+++=can
be ^vb+be+aux++=be
consistently ^rb++splt++=consistently
located ^vpsv++agls+xvbnx+=located
and ^cc++++=and
accessed ^jj+++xvbn+=accessed.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
practice ^nn++++=practice
eliminates ^nns+nom+++=eliminates
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
researchers ^nns+nom+++=researchers
to ^to++++=to
remember ^nn+nom+++=remember
specific ^jj+atrb+++=specific
storage ^nn+nom+++=storage
locations ^nns+nom+++=locations
or ^cc++++=or
manage ^vb++++=manage
multiple ^jj+atrb+++=multiple
copies ^nns++++=copies
and ^cc++++=and
backups ^nns+++??+=backups
across ^in+pl+++=across
various ^jj+atrb+++=various
devices ^nns++++=devices
or ^cc++++=or
platforms ^nns++++=platforms.
. ^zz++++=EXTRAWORD
Ultimately ^rb+cnj+++=Ultimately,
, ^zz++++=EXTRAWORD
archiving ^jj+atrb++xvbg+=archiving
mitigates ^nns+nom+++=mitigates
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
data ^nns++++=data
and ^cc++++=and
metadata ^nn++++=metadata
being ^vb+be+aux++=being
lost ^vprf+++xvbn+=lost,
, ^zz++++=EXTRAWORD
discarded ^vpsv++agls+xvbn+=discarded,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
overlooked ^vpsv++agls+xvbn+=overlooked.
. ^zz++++=EXTRAWORD
