Plants ^nns++++=Plants
are ^vb+ber+vrb++=are
subject ^nn++++=subject
to ^in++++=to
various ^jj+atrb+++=various
environmental ^jj+atrb+++=environmental
pressures ^nns++++=pressures
and ^cc++++=and
must ^md+nec+++=must
maintain ^vb+vpub+++=maintain
resistance ^nn+nom+++=resistance
to ^in++++=to
damage ^nn++++=damage,
, ^zz++++=EXTRAWORD
stress ^vb+vpub+++=stress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
structural ^jj+atrb+++=structural
support ^nn++++=support
throughout ^rb++++=throughout
their ^pp$+pp3+++=their
lifespan ^nn+nom+++=lifespan.
. ^zz++++=EXTRAWORD
The ^ati++++=The
damage ^nn++++=damage
resistance ^nn+nom+++=resistance
and ^cc++++=and
structural ^jj+atrb+++=structural
support ^nn++++=support
of ^in++++=of
stems ^nns++++=stems
and ^cc++++=and
leaves ^nns++++=leaves
in ^in++++=in
woody ^nn+++??+=woody
plants ^nns++++=plants
can ^md+pos+++=can
be ^vb+be+aux++=be
biomechanically ^rb++splt++=biomechanically
assessed ^vpsv++agls+xvbnx+=assessed
through ^in++++=through
measurements ^nns+nom+++=measurements
of ^in++++=of
stiffness ^nns+nom+++=stiffness,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
toughness ^nns+nom+++=toughness
( ^zz++++=(Niklas
niklas ^nns+++??+=EXTRAWORD
1992 ^cd+date+++=1992;
; ^zz++++=EXTRAWORD
Speck ^nn++++=Speck
1994 ^cd+date+++=1994;
; ^zz++++=EXTRAWORD
Rowe ^np++++=Rowe
& ^zz++++=&
Speck ^nn++++=Speck
1996 ^cd+date+++=1996;
; ^zz++++=EXTRAWORD
Speck ^nn++++=Speck
& ^zz++++=&
Rowe ^np++++=Rowe
1999 ^cd+date+++=1999;
; ^zz++++=EXTRAWORD
Niklas ^np+++??+=Niklas
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006;
; ^zz++++=EXTRAWORD
Rowe ^np++++=Rowe
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Biomechanical ^np+++??+=Biomechanical
properties ^nns++++=properties
have ^vb+hv+aux++=have
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
investigated ^vpsv++agls+xvbnx+=investigated
in ^in++++=in
studies ^nns++++=studies
examining ^vwbg+++xvbg+=examining
potential ^jj+atrb+++=potential
associations ^nns+nom+++=associations
between ^in++++=between
animal ^nn++++=animal
feeding ^vwbg+++xvbg+=feeding
behavior ^nn++++=behavior
and ^cc++++=and
the ^ati++++=the
mechanical ^jj+atrb+++=mechanical
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
plant ^nn++++=plant
parts ^nns++++=parts
consumed ^vwbn+++xvbn+=consumed.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
physical ^jj+atrb+++=physical
properties ^nns++++=properties
of ^in++++=of
leaves ^nns++++=leaves
and ^cc++++=and
stems ^nns++++=stems
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
the ^ati++++=the
masticatory ^nn++++=masticatory
morphology ^nn++++=morphology
of ^in++++=of
primates ^nns+nom+++=primates
( ^zz++++=(Strait
strait ^nn++++=EXTRAWORD
1997 ^cd+date+++=1997),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
evidence ^nn+nom+++=evidence
suggesting ^vwbg+++xvbg+=suggesting
possible ^jj+atrb+++=possible
coevolution ^nn+nom+++=coevolution
between ^in++++=between
animal ^nn++++=animal
consumers ^nns+nom+++=consumers
and ^cc++++=and
plant ^nn++++=plant
mechanical ^jj+atrb+++=mechanical
traits ^nns++++=traits
( ^zz++++=(Thiery
thiery ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
