Among ^in++++=Among
the ^ati++++=the
factors ^nns++++=factors
influencing ^vwbg+++xvbg+=influencing
the ^ati++++=the
mortality ^nn+nom+++=mortality
of ^in++++=of
epiphyte ^nn+++??+=epiphyte
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
Jasper ^np+++??+=Jasper
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2005)
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
identified ^vbd+++xvbn+=identified
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
secure ^jj+atrb+++=secure
attachment ^nn+nom+++=attachment
to ^in++++=to
the ^ati++++=the
host ^nn++++=host
using ^vwbg+++xvbg+=using
materials ^nns+nom+++=materials
that ^tht+rel+subj++=that
remain ^vb++++=remain
effective ^jj++++=effective
for ^in++++=for
at ^rb++++=at
least ^rb"++++=least
10 ^cd++++=10
months ^nns++++=months.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
study ^nn++++=study,
, ^zz++++=EXTRAWORD
the ^ati++++=the
authors ^nns++++=authors
employed ^vbd+++xvbn+=employed
biodegradable ^jj+atrb+++=biodegradable
string ^nn++++=string,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
utilized ^vbd+++xvbn+=utilized
sisal ^jj++++=sisal.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
this ^dt+dem+++=this
requirement ^nn+nom+++=requirement,
, ^zz++++=EXTRAWORD
direct ^jj+atrb+++=direct
transplantation ^nn+nom+++=transplantation
to ^in++++=to
soil ^nn++++=soil
may ^md+pos+++=may
represent ^vb++++=represent
a ^at++++=a
viable ^jj+atrb+++=viable
alternative ^nn++++=alternative
to ^to++++=to
reduce ^vbi++++=reduce
losses ^nns++++=losses
of ^in++++=of
rescued ^xvbn+++xvbn+=rescued
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
for ^in++++=for
facultative ^jj+atrb+++=facultative
species ^nn++++=species
( ^zz++++=(Jasper
jasper ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
specimens ^nns++++=specimens
with ^in++++=with
facultative ^jj+atrb+++=facultative
habits ^nns++++=habits,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Aechmea ^np+++??+=Aechmea
calyculata ^nn+++??+=calyculata
( ^zz++++=(E.
e ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Morren ^np+++??+=Morren)
) ^zz++++=EXTRAWORD
Baker ^np++++=Baker,
, ^zz++++=EXTRAWORD
exhibited ^j+++xvbn+=exhibited
a ^at++++=a
survival ^nn+nom+++=survival
rate ^nn++++=rate
of ^in++++=of
79.6 ^cd++++=79.6%
% ^zz++++=EXTRAWORD
when ^wrb+who+++=when
transplanted ^jj+++xvbn+=transplanted
to ^in++++=to
soil ^nn++++=soil.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Freitas ^np++++=Freitas
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(1998)
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
conducted ^vbd+++xvbn+=conducted
transplantation ^nn+nom+++=transplantation
experiments ^nns+nom+++=experiments
to ^to++++=to
evaluate ^nn+nom+++=evaluate
the ^ati++++=the
epiphytic ^jj+atrb+++=epiphytic
growth ^nn++++=growth
of ^in++++=of
terricolous ^jj+atrb+++=terricolous
ramets ^nns+++??+=ramets
of ^in++++=of
Nidularium ^np+++??+=Nidularium
procerum ^nn+++??+=procerum
Lindman ^np+++??+=Lindman
and ^cc++++=and
Nidularium ^np+++??+=Nidularium
innocentii ^nn+++??+=innocentii
Lemaire ^np+++??+=Lemaire,
, ^zz++++=EXTRAWORD
both ^abx++++=both
considered ^jj+atrb++xvbn+=considered
facultative ^jj+atrb+++=facultative
epiphytes ^nns+++??+=epiphytes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reported ^vbd+vpub++xvbn+=reported
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
survival ^nn+nom+++=survival
of ^in++++=of
all ^abn++++=all
ramets ^nns++++=ramets
after ^in++++=after
two ^cd++++=two
years ^nns++++=years.
. ^zz++++=EXTRAWORD
