Only ^rb+down+++=Only
a ^at++++=a
single ^jj+atrb+++=single
specimen ^nn++++=specimen
of ^in++++=of
this ^dt+dem+++=this
species ^nn++++=species
was ^vbd+bedz+aux++=was
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Compared ^j+++xvbn+=Compared
to ^in++++=to
the ^ati++++=the
population ^nn+nom+++=population
described ^vwbn+++xvbn+=described
by ^in++++=by
Silva ^np+++??+=Silva
and ^cc++++=and
Cecy ^np+++??+=Cecy
( ^zz++++=(2004),
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
current ^jj+atrb+++=current
specimen ^nn++++=specimen
is ^vbz+bez+vrb++=is
notably ^rb++++=notably
longer ^rbr++++=longer
and ^cc++++=and
exhibits ^nns++++=exhibits
less ^rbr++++=less
pronounced ^jj+atrb++xvbn+=pronounced
marginal ^jj+atrb+++=marginal
undulations ^nns+nom+++=undulations.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
smaller ^jjr+pred+++=smaller
than ^in++++=than
the ^ati++++=the
material ^nn++++=material
reported ^vwbn+vpub++xvbn+=reported
by ^in++++=by
Felisberto ^np+++??+=Felisberto
and ^cc++++=and
Rodrigues ^np+++??+=Rodrigues
( ^zz++++=(2010),
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
displays ^nns++++=displays
fewer ^ap++++=fewer
lateral ^jj+atrb+++=lateral
margin ^nn++++=margin
undulations ^nns+nom+++=undulations
than ^in++++=than
those ^dt+dem+++=those
described ^vpsv++by+xvbn+=described
by ^in++++=by
Menezes ^np+++??+=Menezes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011).
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
Cosmarium ^np+++??+=Cosmarium
impressulum ^nn+++??+=impressulum
may ^md+pos+++=may
be ^vb+be+aux++=be
confused ^vpsv++agls+xvbnx+=confused
with ^in++++=with
Cosmarium ^np+++??+=Cosmarium
undulatum ^nn+++??+=undulatum
Corda ^np++++=Corda
ex ^jjb++++=ex
Ralfs ^np+++??+=Ralfs,
, ^zz++++=EXTRAWORD
Bicudo ^np+++??+=Bicudo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
these ^dt+dem+++=these
species ^nn++++=species
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
marginal ^jj+atrb+++=marginal
undulations ^nns+nom+++=undulations
C ^zz++++=C.
. ^zz++++=EXTRAWORD
undulatum ^nn+++??+=undulatum
possesses ^nns+nom+++=possesses
10 ^cd++++=10
12 ^cd++++=12
undulations ^nns+nom+++=undulations,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
C ^zz++++=C.
. ^zz++++=EXTRAWORD
impressulum ^nn+++??+=impressulum
has ^vbz+hvz+vrb++=has
up ^rp++++=up
to ^to++++=to
6 ^zz++++=6
and ^cc++++=and
by ^in++++=by
cell ^nn++++=cell
size ^nn++++=size,
, ^zz++++=EXTRAWORD
with ^in++++=with
C ^zz++++=C.
. ^zz++++=EXTRAWORD
undulatum ^nn+++??+=undulatum
being ^vwbg+beg++xvbg+=being
comparatively ^rb++++=comparatively
larger ^jjr++++=larger
( ^zz++++=(44
44 ^cd++++=EXTRAWORD
64 ^cd++++=64
30 ^cd++++=30
52 ^cd++++=52
m ^zz++++=m).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
