Teachers ^nns+nom+++=Teachers
employ ^vb++++=employ
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns+++??+=strategies
primarily ^rb+down+++=primarily
to ^to++++=to
prevent ^vbi++++=prevent
or ^cc+phrs+++=or
mitigate ^nn+nom+++=mitigate
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
during ^in+strn+++=during,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
class ^nn++++=class.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
those ^dt+dem+++=those
reported ^vpsv++by+xvbn+=reported
by ^in++++=by
Buri ^np+++??+=Buri
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Taxer ^np+++??+=Taxer
and ^cc++++=and
Gross ^jj++++=Gross
( ^zz++++=(2018).
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
strategies ^nn++++=strategies
identified ^vwbn+++xvbn+=identified
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
were ^vbd+bed+aux++=were
effectively ^rb++splt++=effectively
categorized ^vpsv++agls+xvbnx+=categorized
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
five ^cd++++=five
families ^nns++++=families
of ^in++++=of
the ^ati++++=the
Process ^nns+nom+++=Process
Model ^nn++++=Model
of ^in++++=of
Emotion ^nn+nom+++=Emotion
Regulation ^nn+nom+++=Regulation,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
this ^dt+dem+++=this
model ^nn++++=model
