However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
cognitive ^jj+atrb+++=cognitive
change ^nn++++=change
is ^vbz+bez+aux++=is
also ^rb++splt++=also
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
certain ^jj+atrb+++=certain
drawbacks ^nns++++=drawbacks.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
attributing ^vbg+++xvbg+=attributing
external ^jj+atrb+++=external
causality ^nn+nom+++=causality
may ^md+pos+++=may
alleviate ^nn+nom+++=alleviate
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions
in ^in++++=in
the ^ati++++=the
short ^jj+atrb+++=short
term ^nn++++=term,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
undermine ^vb++++=undermine
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
performance ^nn+nom+++=performance
by ^in++++=by
reducing ^xvbg+++xvbg+=reducing
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
sense ^nn++++=sense
of ^in++++=of
responsibility ^nn+nom+++=responsibility
for ^in++++=for
students ^nns++++=students'
' ^zz++++=EXTRAWORD
development ^nn+nom+++=development
( ^zz++++=(Pereira,
pereira ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Marinotti ^np+++??+=Marinotti,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Luna ^np+++??+=Luna,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
may ^md+pos+++=may
engage ^vb++++=engage
in ^in++++=in
negative ^jj+atrb+++=negative
self ^nn++++=self-assessment
- ^zz++++=EXTRAWORD
assessment ^nn+nom+++=EXTRAWORD
by ^in++++=by
attributing ^vbg+++xvbg+=attributing
responsibility ^nn+nom+++=responsibility
for ^in++++=for
adverse ^jj+atrb+++=adverse
situations ^nns+nom+++=situations
to ^in++++=to
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
result ^vb++++=result
in ^in++++=in
self ^nn++++=self-blame.
- ^zz++++=EXTRAWORD
blame ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
form ^nn++++=form
of ^in++++=of
evaluation ^nn+nom+++=evaluation
has ^vbz+hvz+vrb++=has
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
negatively ^rb++++=negatively
impact ^vb++++=impact
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
well ^rb++++=well-being,
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
may ^md+pos+++=may
lead ^vb++++=lead
to ^in++++=to
perceptions ^nns+nom+++=perceptions
of ^in++++=of
inadequacy ^nn+nom+++=inadequacy
and ^cc++++=and
incompetence ^nn+nom+++=incompetence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
contribute ^vb++++=contribute
to ^in++++=to
feelings ^nns+nom+++=feelings
of ^in++++=of
frustration ^nn+nom+++=frustration,
, ^zz++++=EXTRAWORD
distress ^nns+nom+++=distress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
guilt ^nn++++=guilt
( ^zz++++=(Clar
clar ^nn+++??+=EXTRAWORD
, ^zz++++=,
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
cognitive ^jj+atrb+++=cognitive
change ^nn++++=change
that ^tht+rel+subj++=that
emphasizes ^vbz+vpub+tht0++=emphasizes
negative ^jj+atrb+++=negative
aspects ^nns++++=aspects
can ^md+pos+++=can
intensify ^vb++++=intensify
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions,
, ^zz++++=EXTRAWORD
reinforce ^vb++++=reinforce
feelings ^nns+nom+++=feelings
of ^in++++=of
apathy ^nn++++=apathy
and ^cc++++=and
helplessness ^nns+nom+++=helplessness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
diminish ^vb++++=diminish
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
effectively ^rb++++=effectively
address ^nns+nom+++=address
challenging ^jj+atrb+++=challenging
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
