There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
clear ^jj+atrb+++=clear
or ^cc+phrs+++=or
straightforward ^jj+atrb+++=straightforward
distinction ^nn+nom+++=distinction
between ^in++++=between
the ^ati++++=the
sequences ^nns+nom+++=sequences
of ^in++++=of
exploring ^xvbg+++xvbg+=exploring
and ^cc++++=and
guiding ^xvbg+++xvbg+=guiding
explanations ^nns+nom+++=explanations,
, ^zz++++=EXTRAWORD
as ^ql++++=as
actual ^jj+atrb+++=actual
classroom ^nn++++=classroom
interactions ^nns+nom+++=interactions
often ^rb++++=often
involve ^vb++++=involve
unplanned ^jj+atrb+++=unplanned
utterances ^nns+nom+++=utterances,
, ^zz++++=EXTRAWORD
deviations ^nns+nom+++=deviations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unpredictable ^jj++++=unpredictable
flows ^vbz++++=flows
that ^dt+dem+++=that
complicate ^nn+nom+++=complicate
the ^ati++++=the
categorization ^nn+nom+++=categorization
of ^in++++=of
these ^dt+dem+++=these
sequences ^nns+nom+++=sequences
into ^in++++=into
a ^at++++=a
single ^jj+atrb+++=single
type ^nn++++=type
( ^zz++++=(Barnes,
barnes ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1976 ^cd+date+++=1976).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
explanatory ^jj+atrb+++=explanatory
sequences ^nns+nom+++=sequences
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
discrete ^jj++++=discrete
or ^cc++++=or
mutually ^rb++++=mutually
exclusive ^jj++++=exclusive;
; ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
different ^jj+atrb+++=different
categories ^nns++++=categories
may ^md+pos+++=may
overlap ^vb++++=overlap
within ^in++++=within
individual ^jj+atrb+++=individual
utterances ^nns+nom+++=utterances.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
issue ^nn++++=issue
was ^vbd+bedz+aux++=was
previously ^rb+tm+splt++=previously
noted ^vpsv++by+xvbnx+=noted
by ^in++++=by
Mercer ^np++++=Mercer
( ^zz++++=(1995)
1995 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
introduced ^vbd+++xvbn+=introduced
the ^ati++++=the
three ^cd++++=three
types ^nns++++=types
of ^in++++=of
group ^nn++++=group
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
