At ^rb++++=At
the ^ati++++=the
conclusion ^nn++++=conclusion
of ^in++++=of
the ^ati++++=the
interview ^nn++++=interview,
, ^zz++++=EXTRAWORD
each ^dt++++=each
participant ^nn+nom+++=participant
was ^vbd+bedz+aux++=was
requested ^vpsv++agls+xvbnx+=requested
to ^to+vcmp+++=to
provide ^vbi+vsua+++=provide
the ^ati++++=the
teacher ^nn++++=teacher/researcher
with ^in++++=with
a ^at++++=a
review ^nn++++=review
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
for ^in++++=for
a ^at++++=a
paper ^nn++++=paper
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
either ^dtx++++=either
accepted ^jj+++xvbn+=accepted
or ^cc+phrs+++=or
rejected ^jj+++xvbn+=rejected
by ^in++++=by
a ^at++++=a
high ^jj++++=high-impact
- ^zz++++=EXTRAWORD
impact ^nn++++=EXTRAWORD
computer ^nn+nom+++=computer
science ^nn+nom+++=science
journal ^nn++++=journal.
. ^zz++++=EXTRAWORD
A ^at++++=A
total ^nn++++=total
of ^in++++=of
17 ^cd++++=17
texts ^nns++++=texts
were ^vbd+bed+aux++=were
submitted ^vpsv++agls+xvbnx+=submitted
via ^in++++=via
email ^nn+++??+=email,
, ^zz++++=EXTRAWORD
corresponding ^jj+++xvbg+=corresponding
to ^to++++=to
12 ^cd++++=12
distinct ^jj+atrb+++=distinct
publication ^nn+nom+++=publication
processes ^nns+nom+++=processes;
; ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
four ^cd++++=four
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
rejection ^nn+nom+++=rejection
and ^cc++++=and
eight ^cd++++=eight
in ^in++++=in
acceptance ^nn+nom+++=acceptance.
. ^zz++++=EXTRAWORD
For ^in++++=For
data ^nns++++=data
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
Huckin ^np+++??+=Huckin
s ^zz++++=s
( ^zz++++=(2004)
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
content ^nn++++=content
analysis ^nn++++=analysis
methodology ^nn++++=methodology
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Antconc ^np+++??+=AntConc
software ^nn+++??+=software
was ^vbd+bedz+aux++=was
utilized ^vpsv++agls+xvbn+=utilized
to ^to++++=to
extract ^vbi++++=extract
specific ^jj+atrb+++=specific
information ^nn+nom+++=information
from ^in++++=from
the ^ati++++=the
texts ^nns++++=texts.
. ^zz++++=EXTRAWORD
