Content ^nn++++=Content
validity ^nn+nom+++=validity
was ^vbd+bedz+aux++=was
assessed ^vpsv++agls+xvbnx+=assessed
through ^in++++=through
an ^at++++=an
item ^nn++++=item
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
B ^zz++++=B-PREA-R,
- ^zz++++=EXTRAWORD
prea ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
r ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
involved ^vbd+++xvbn+=involved
evaluating ^jj+++xvbg+=evaluating
each ^dt++++=each
item ^nn++++=item's
's ^$++++=EXTRAWORD
discrimination ^nn+nom+++=discrimination
index ^nn++++=index
( ^zz++++=(item-total
item ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
total ^jj+atrb+++=EXTRAWORD
correlation ^nn+nom+++=correlation)
) ^zz++++=EXTRAWORD
and ^cc++++=and
difficulty ^nn++++=difficulty
index ^nn++++=index.
. ^zz++++=EXTRAWORD
The ^ati++++=The
discrimination ^nn+nom+++=discrimination
index ^nn++++=index
was ^vbd+bedz+aux++=was
interpreted ^vpsv++agls+xvbnx+=interpreted
based ^vbd+++xvbn+=based
on ^in++++=on
the ^ati++++=the
criteria ^nns++++=criteria
established ^vwbn+++xvbn+=established
by ^in++++=by
Ebel ^np+++??+=Ebel
and ^cc++++=and
Frisbie ^np+++??+=Frisbie
( ^zz++++=(as
as ^in++++=EXTRAWORD
cited ^nn++++=cited
in ^in++++=in
Backhoff ^np+++??+=Backhoff
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000):
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
items ^nns++++=items
with ^in++++=with
values ^nns++++=values
. ^zz++++=.39
39 ^cd++++=EXTRAWORD
were ^vbd+bed+aux++=were
considered ^vpsv++agls+xvbnx+=considered
high ^jj+atrb+++=high
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
values ^nns++++=values
between ^in+strn+++=between
. ^zz++++=.30
30 ^cd++++=EXTRAWORD
and ^cc++++=and
. ^zz++++=.39
39 ^cd++++=EXTRAWORD
indicated ^vbd+vprv++xvbn+=indicated
good ^jj+atrb+++=good
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
values ^nns++++=values
between ^in+strn+++=between
. ^zz++++=.20
20 ^cd++++=EXTRAWORD
and ^cc++++=and
. ^zz++++=.29
29 ^cd++++=EXTRAWORD
indicated ^vbd+vprv++xvbn+=indicated
fair ^jj+atrb+++=fair
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
values ^nns++++=values
< ^zz++++=<
. ^zz++++=.20
20 ^cd++++=EXTRAWORD
indicated ^vbd+vprv++xvbn+=indicated
low ^jj+atrb+++=low
quality ^nn+nom+++=quality.
. ^zz++++=EXTRAWORD
The ^ati++++=The
difficulty ^nn++++=difficulty
index ^nn++++=index
was ^vbd+bedz+aux++=was
classified ^vpsv++agls+xvbnx+=classified
according ^in+cmpx+++=according
to ^in++++=to
Crocker ^np+++??+=Crocker
and ^cc++++=and
Algina ^np+++??+=Algina
( ^zz++++=(1986),
1986 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
values ^nns++++=values
of ^in+strn+++=of
. ^zz++++=.80
80 ^cd++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
low ^jj+atrb+++=low
difficulty ^nn++++=difficulty,
, ^zz++++=EXTRAWORD
values ^nns++++=values
between ^in+strn+++=between
. ^zz++++=.79
79 ^cd++++=EXTRAWORD
and ^cc++++=and
. ^zz++++=.50
50 ^cd++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
medium ^jjb+atrb+++=medium
difficulty ^nn++++=difficulty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
values ^nns++++=values
< ^zz++++=<
. ^zz++++=.50
50 ^cd++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
high ^jj+atrb+++=high
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
