While ^cs+sub+++=While
archiving ^jj+++xvbg+=archiving
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
conservation ^nn+nom+++=conservation,
, ^zz++++=EXTRAWORD
preservation ^nn+nom+++=preservation,
, ^zz++++=EXTRAWORD
accessibility ^nn+nom+++=accessibility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
discoverability ^nn+nom+++=discoverability
of ^in++++=of
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation
data ^nns++++=data,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
all ^abn++++=all
data ^nns++++=data
are ^vb+ber+vrb++=are
equally ^rb++++=equally
suitable ^jj+pred+++=suitable
for ^in++++=for
archiving ^xvbg+++xvbg+=archiving
or ^cc++++=or
for ^in++++=for
being ^nn+nn+aux++=being
archived ^vbd+++xvbn+=archived
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
Certain ^jj+atrb+++=Certain
materials ^nns+nom+++=materials
may ^md+pos+++=may
be ^vb+be+vrb++=be
culturally ^rb++++=culturally
or ^cc+phrs+++=or
personally ^rb++++=personally
sensitive ^jj++++=sensitive
to ^in++++=to
the ^ati++++=the
extent ^nn++++=extent
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
archived ^vpsv++agls+xvbnx+=archived
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
materials ^nns+nom+++=materials
may ^md+pos+++=may
require ^vb+vsua+++=require
restricted ^jj+atrb++xvbn+=restricted
access ^nn++++=access,
, ^zz++++=EXTRAWORD
as ^in++++=as
discussed ^nn++++=discussed
in ^in++++=in
2.3 ^cd++++=2.3,
, ^zz++++=EXTRAWORD
limiting ^vbg+++xvbg+=limiting
engagement ^nn+nom+++=engagement
to ^in++++=to
specific ^jj+atrb+++=specific
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
such ^abl++++=such
restrictions ^nns+nom+++=restrictions
may ^md+pos+++=may
apply ^vb++++=apply
differently ^rb++++=differently
to ^in++++=to
various ^jj+atrb+++=various
formats ^nns++++=formats
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
content ^nn++++=content,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
audio ^vb+++??+=audio
files ^nns++++=files,
, ^zz++++=EXTRAWORD
video ^nn+++??+=video
files ^nns++++=files,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
written ^jj+atrb++xvbn+=written
transcriptions ^nns+nom+++=transcriptions
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
event ^nn++++=event.
. ^zz++++=EXTRAWORD
Examples ^nns++++=Examples
of ^in++++=of
potentially ^rb++++=potentially
sensitive ^jj+atrb+++=sensitive
material ^nn++++=material
include ^vb++++=include
esoteric ^jj+atrb+++=esoteric
or ^cc+phrs+++=or
protected ^jj+atrb++xvbn+=protected
knowledge ^nn++++=knowledge
that ^tht+ncmp+++=that
is ^vbz+bez+aux++=is
not ^xnot++not++=not
intended ^vbd+vsua++xvbn+=intended
for ^in++++=for
dissemination ^nn+nom+++=dissemination
to ^in++++=to
particular ^jj+atrb+++=particular
individuals ^nns+nom+++=individuals
or ^cc++++=or
groups ^nns++++=groups
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
community ^nn+nom+++=community
outsiders ^nns+nom+++=outsiders,
, ^zz++++=EXTRAWORD
members ^nns+nom+++=members
of ^in++++=of
other ^ap++++=other
clans ^nns++++=clans,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
based ^vpsv++agls+xvbn+=based
on ^in++++=on
gender ^nn++++=gender),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
speech ^nn++++=speech
that ^tht+rel+subj++=that
could ^md+pos+++=could
cause ^vb++++=cause
personal ^jj+atrb+++=personal
harm ^nn++++=harm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
information ^nn+nom+++=information
that ^tht+vcmp+obj++=that
may ^md+pos+++=may
pose ^vb++++=pose
risks ^nns++++=risks
to ^in++++=to
individuals ^nns+nom+++=individuals
or ^cc++++=or
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
Effective ^jj+atrb+++=Effective
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation
and ^cc++++=and
archiving ^xvbg+++xvbg+=archiving
require ^vb+vsua+++=require
open ^jj+atrb+++=open
and ^cc+phrs+++=and
ongoing ^jj+atrb++xvbg+=ongoing
communication ^nn+nom+++=communication
among ^in++++=among
documenters ^nns+nom+++=documenters,
, ^zz++++=EXTRAWORD
speakers ^nns+nom+++=speakers
or ^cc++++=or
signers ^nns+nom+++=signers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
community ^nn+nom+++=community
members ^nns+nom+++=members
to ^to++++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
the ^ati++++=the
process ^nns+nom+++=process
is ^vbz+bez+vrb++=is
fully ^rb+amp+++=fully
ethical ^jj+pred+++=ethical
and ^cc+phrs+++=and
informed ^jj++++=informed,
, ^zz++++=EXTRAWORD
as ^in++++=as
further ^nn++++=further
discussed ^vpsv++agls+xvbn+=discussed
in ^in++++=in
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
