Bahia ^np+++??+=Bahia,
, ^zz++++=EXTRAWORD
Freire ^np+++??+=Freire,
, ^zz++++=EXTRAWORD
Amaral ^np+++??+=Amaral,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Estrela ^np+++??+=Estrela
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Taxer ^np+++??+=Taxer
and ^cc++++=and
Frenzel ^np+++??+=Frenzel
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
assert ^vb+vpub+++=assert
that ^tht+vcmp+++=that
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
emotional ^jj+atrb+++=emotional
experiences ^nns+nom+++=experiences
involve ^vb++++=involve
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
both ^abx++++=both
genuinely ^rb++++=genuinely
expressed ^jj+atrb++xvbn+=expressed
and ^cc+phrs+++=and
regulated ^jj+atrb++xvbn+=regulated
emotions ^nns+nom+++=emotions.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
existing ^jj+atrb++xvbg+=existing
research ^nn++++=research
has ^vbz+hvz+aux++=has
predominantly ^rb++splt++=predominantly
concentrated ^vprf+++xvbnx+=concentrated
on ^in++++=on
a ^at++++=a
limited ^nn++++=limited
set ^vbd+++xvbn+=set
of ^in++++=of
self ^nn++++=self-regulation
- ^zz++++=EXTRAWORD
regulation ^nn+nom+++=EXTRAWORD
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
cognitive ^jj+atrb+++=cognitive
reappraisal ^nn+nom+++=reappraisal
and ^cc++++=and
suppression ^nn++++=suppression
( ^zz++++=(Taxer
taxer ^jjr++++=EXTRAWORD
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
studies ^nns++++=studies
are ^vb+ber+aux++=are
often ^rb++splt++=often
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
decontextualized ^jj+atrb++xvbn+=decontextualized
settings ^nns++++=settings
and ^cc++++=and
do ^vb+do+vrb++=do
not ^xnot++not++=not
adequately ^rb++++=adequately
capture ^vb++++=capture
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
as ^ql++++=as
it ^pp3+it+++=it
occurs ^vbz++++=occurs
in ^in++++=in
classroom ^nn++++=classroom
environments ^nns+nom+++=environments
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Chang ^np+++??+=Chang,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Uitto ^np+++??+=Uitto
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
result ^vb++++=result
in ^in++++=in
incomplete ^jj+atrb+++=incomplete
or ^cc+phrs+++=or
premature ^jj+atrb+++=premature
conclusions ^nns++++=conclusions
( ^zz++++=(Gross,
gross ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
examine ^vbi++++=examine
how ^wrb+who+++=how
contextual ^jj+atrb+++=contextual
factors ^nns++++=factors
influence ^nn+nom+++=influence
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
emotional ^jj+atrb+++=emotional
experiences ^nns+nom+++=experiences
and ^cc++++=and
their ^pp$+pp3+++=their
choice ^nn++++=choice
of ^in++++=of
regulatory ^nn++++=regulatory
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
as ^ql++++=as
most ^ql+emph+++=most
research ^nn++++=research
adopts ^nns+++??+=adopts
an ^at++++=an
intrapersonal ^jj+atrb+++=intrapersonal
perspective ^nn++++=perspective
and ^cc++++=and
tends ^vbz++++=tends
to ^to+vcmp+++=to
overlook ^vbi+vprv+++=overlook
interpersonal ^jj+atrb+++=interpersonal
and ^cc+phrs+++=and
situational ^jj+atrb+++=situational
dimensions ^nns++++=dimensions
( ^zz++++=(English,
english ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lee ^nn++++=Lee,
, ^zz++++=EXTRAWORD
John ^np++++=John,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Fried ^jj++++=Fried
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
uitto ^np++++=Uitto
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
