According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Ict ^np+++??+=ICT
Education ^nn+nom+++=Education
2018 ^cd++++=2018
report ^nn++++=report
( ^zz++++=(CGI.br,
cgi.br ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019b ^cd++++=2019b),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
people ^nns++++=people's
's ^$++++=EXTRAWORD
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
use ^vbi++++=use
the ^ati++++=the
Internet ^np+++??+=Internet
is ^vbz+bez+aux++=is
strongly ^rb+amp+splt++=strongly
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
self ^nn++++=self-directed
- ^zz++++=EXTRAWORD
directed ^vbd+++xvbn+=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning
experiences ^nns+nom+++=experiences.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
80 ^cd++++=80%
% ^zz++++=EXTRAWORD
of ^in++++=of
students ^nns++++=students
in ^in++++=in
both ^abx++++=both
public ^jj+atrb+++=public
and ^cc+phrs+++=and
private ^jj+atrb+++=private
schools ^nns++++=schools
in ^in++++=in
Brazil ^np++++=Brazil
acquired ^vbd+++xvbn+=acquired
their ^pp$+pp3+++=their
Internet ^np+++??+=Internet
skills ^nns++++=skills
independently ^rb+cnj+++=independently,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
learning ^nvbg+++xvbg+=learning
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
oriented ^vpsv++agls+xvbnx+=oriented
toward ^in++++=toward
basic ^jj++++=basic,
, ^zz++++=EXTRAWORD
widely ^rb++++=widely
shared ^jj+atrb++xvbn+=shared
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
report ^nn++++=report
highlights ^nns++++=highlights
the ^ati++++=the
persistence ^nn+nom+++=persistence
of ^in++++=of
inequalities ^nns+nom+++=inequalities
between ^in++++=between
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
technology ^nn++++=technology
use ^nn++++=use
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
broader ^jjr+atrb+++=broader
conditions ^nns+nom+++=conditions
of ^in++++=of
access ^nn++++=access
to ^in++++=to
education ^nn+nom+++=education
( ^zz++++=(CGI.br,
cgi.br ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019b ^cd++++=2019b,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
116 ^cd++++=116).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
