With ^in++++=With
the ^ati++++=the
transformation ^nn+nom+++=transformation
of ^in++++=of
productive ^jj+atrb+++=productive
processes ^nns+nom+++=processes
in ^in++++=in
contemporary ^jj+atrb+++=contemporary
society ^nn++++=society,
, ^zz++++=EXTRAWORD
numerous ^jj+atrb+++=numerous
professional ^jj+atrb+++=professional
activities ^nns+nom+++=activities
and ^cc++++=and
citizen ^nn++++=citizen
services ^nns++++=services
have ^vb+hv+aux++=have
transitioned ^vprf+++xvbnx+=transitioned
to ^in++++=to
digital ^jj+atrb+++=digital
formats ^nns++++=formats,
, ^zz++++=EXTRAWORD
necessitating ^jj+++xvbg+=necessitating
at ^rb++++=at
least ^rb"++++=least
a ^at++++=a
basic ^jj+atrb+++=basic
level ^nn++++=level
of ^in++++=of
information ^nn+nom+++=information
technology ^nn++++=technology
proficiency ^nn++++=proficiency.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
federal ^jj+atrb+++=federal
public ^jj+atrb+++=public
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
Digital ^jj+atrb+++=Digital
Government ^nn+nom+++=Government
Secretariat ^nn++++=Secretariat
of ^in++++=of
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
the ^ati++++=the
Economy ^nn++++=Economy
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
54 ^cd++++=54%
% ^zz++++=EXTRAWORD
of ^in++++=of
public ^jj+atrb+++=public
services ^nns++++=services
offered ^vbd+++xvbn+=offered
to ^in++++=to
the ^ati++++=the
population ^nn+nom+++=population
had ^vb+hv+aux++=had
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
digitized ^vpsv++agls+xvbnx+=digitized.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
60 ^cd++++=60%
% ^zz++++=EXTRAWORD
of ^in++++=of
federal ^jj+atrb+++=federal
government ^nn+nom+++=government
services ^nns++++=services
were ^vbd+bed+vrb++=were
available ^jj+pred+++=available
in ^in++++=in
digital ^jj+atrb+++=digital
form ^nn++++=form,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
stated ^jj+++xvbn+=stated
objective ^jj++++=objective
of ^in++++=of
achieving ^xvbg+++xvbg+=achieving
full ^jj+atrb+++=full
digitization ^nn+nom+++=digitization
( ^zz++++=(100%)
100 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
2022 ^cd++++=2022
( ^zz++++=(Brasil,
brasil ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
