Several ^ap++++=Several
interviewees ^nns+nom+++=interviewees
had ^vbd+hvd+aux++=had
resided ^vprf+++xvbnx+=resided
in ^in++++=in
Portugal ^np+nom+++=Portugal
prior ^jj++++=prior
to ^to++++=to
relocating ^vbg+++xvbg+=relocating
to ^in++++=to
Northern ^np++++=Northern
Ireland ^np++++=Ireland
and ^cc++++=and
establishing ^vbg+++xvbg+=establishing
themselves ^ppls+pp3+++=themselves
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
possessed ^vbd+++xvbnx+=possessed
a ^at++++=a
functional ^jj+atrb+++=functional
proficiency ^nn++++=proficiency
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
interviewee ^nn+nom+++=interviewee
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
among ^in++++=among
the ^ati++++=the
students ^nns++++=students
who ^whp+rel+subj++=who
sought ^vbd+++xvbn+=sought
refuge ^nn++++=refuge
in ^in++++=in
an ^at++++=an
embassy ^nn++++=embassy
in ^in++++=in
Jakarta ^np+++??+=Jakarta
during ^in++++=during
the ^ati++++=the
1990s ^cd+date+++=1990s
and ^cc++++=and
was ^vbd+bedz+aux++=was
subsequently ^rb+tm+splt++=subsequently
granted ^vpsv++agls+xvbnx+=granted
safe ^jj+atrb+++=safe
passage ^nn+nom+++=passage
to ^in++++=to
portugal ^np+nom+++=Portugal
( ^zz++++=(Interview
interview ^nn++++=EXTRAWORD
with ^in++++=with
ha ^uh++++=HA,
, ^zz++++=EXTRAWORD
june ^nr++++=June
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
