To ^in++++=To
address ^nns+nom+++=address
whether ^cs+who+++=whether
the ^ati++++=the
groups ^nns++++=groups
became ^vbd+++xvbn+=became
more ^ql++++=more
dialogic ^jj++++=dialogic
( ^zz++++=(question
question ^nn+nom+++=EXTRAWORD
3 ^zz++++=3),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
aggregated ^jj+atrb++xvbn+=aggregated
results ^nns++++=results
for ^in++++=for
non ^&fw++++=non-dialogic
- ^zz++++=EXTRAWORD
dialogic ^jj+atrb+++=EXTRAWORD
utterances ^nns+nom+++=utterances
( ^zz++++=(the
the ^ati++++=EXTRAWORD
sum ^nn++++=sum
of ^in++++=of
codes ^nns++++=codes
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
with ^in++++=with
those ^dt+dem+++=those
classified ^jj+++xvbn+=classified
as ^ql++++=as
dialogic ^jj++++=dialogic
( ^zz++++=(codes
codes ^nns++++=EXTRAWORD
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Since ^in++++=Since
the ^ati++++=the
dialogic ^nn++++=dialogic
and ^cc++++=and
non ^&fw++++=non-dialogic
- ^zz++++=EXTRAWORD
dialogic ^jj+atrb+++=EXTRAWORD
measures ^nns++++=measures
are ^vb+ber+vrb++=are
complementary ^jj+pred+++=complementary,
, ^zz++++=EXTRAWORD
statistical ^jj+atrb+++=statistical
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vbd+++xvbn+=conducted
on ^in++++=on
only ^rb+down+++=only
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
categories ^nns++++=categories.
. ^zz++++=EXTRAWORD
