Following ^jj+atrb++xvbg+=Following
water ^nn++++=water
immersion ^nn++++=immersion
treatments ^nns+nom+++=treatments
at ^in++++=at
room ^nn++++=room
temperature ^nn++++=temperature
and ^cc++++=and
in ^in++++=in
hot ^jj+atrb+++=hot
water ^nn++++=water,
, ^zz++++=EXTRAWORD
germination ^nn+nom+++=germination
trials ^nns++++=trials
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted.
. ^zz++++=EXTRAWORD
Seeds ^nns++++=Seeds
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
rolls ^nns++++=rolls
of ^in++++=of
Germitest ^np+++??+=Germitest
paper ^nn++++=paper
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
pre ^nn+++??+=pre-moistened
- ^zz++++=EXTRAWORD
moistened ^vbd+++xvbn+=EXTRAWORD
with ^in++++=with
distilled ^jj+atrb+++=distilled
water ^nn++++=water
at ^in++++=at
a ^at++++=a
ratio ^nn++++=ratio
of ^in++++=of
2.5 ^cd++++=2.5
times ^nns++++=times
the ^ati++++=the
dry ^jj+atrb+++=dry
weight ^nn++++=weight
of ^in++++=of
the ^ati++++=the
paper ^nn++++=paper
( ^zz++++=(Brasil
brasil ^nn+++??+=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
rolls ^nns++++=rolls
containing ^xvbg+++xvbg+=containing
pretreated ^vbd+++xvbn+=pretreated
and ^cc+phrs+++=and
untreated ^vbd+++xvbn+=untreated
pyrenes ^nns+++??+=pyrenes
were ^vbd+bed+aux++=were
enclosed ^vpsv++agls+xvbnx+=enclosed
in ^in++++=in
plastic ^nn++++=plastic
bags ^nns++++=bags
to ^to++++=to
minimize ^vbi++++=minimize
water ^nn++++=water
loss ^nn++++=loss
and ^cc++++=and
incubated ^vpsv++agls+xvbn+=incubated
under ^in++++=under
a ^at++++=a
12 ^cd++++=12-hour
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
photoperiod ^vb+++??+=photoperiod
provided ^vpsv++by+xvbn+=provided
by ^in++++=by
fluorescent ^jj+atrb+++=fluorescent
light ^nn++++=light
( ^zz++++=(4
4 ^zz++++=EXTRAWORD
x ^zz++++=x
20 ^cd++++=20
W ^zz++++=W)
) ^zz++++=EXTRAWORD
with ^in++++=with
alternating ^jj+atrb+++=alternating
temperatures ^nns++++=temperatures
of ^in++++=of
20 ^cd++++=20
30 ^cd++++=30
C ^zz++++=C,
, ^zz++++=EXTRAWORD
as ^in++++=as
recommended ^nn++++=recommended
for ^in++++=for
optimal ^jj+atrb+++=optimal
germination ^nn+nom+++=germination
of ^in++++=of
C ^zz++++=C.
. ^zz++++=EXTRAWORD
alba ^nn+++??+=alba
( ^zz++++=(Fava
fava ^nn+++??+=EXTRAWORD
& ^zz++++=&
Albuquerque ^np+++??+=Albuquerque
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
rolls ^nns++++=rolls
were ^vbd+bed+aux++=were
rotated ^vpsv++agls+xvbnx+=rotated
within ^in++++=within
the ^ati++++=the
incubators ^nns++++=incubators
four ^cd++++=four
times ^nns++++=times
per ^nnu++++=per
week ^nn++++=week.
. ^zz++++=EXTRAWORD
Germination ^np+nom++??+=Germination
was ^vbd+bedz+aux++=was
assessed ^vpsv++agls+xvbnx+=assessed
daily ^jj++++=daily
for ^in++++=for
up ^rp++++=up
to ^to++++=to
45 ^cd++++=45
days ^nns++++=days,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
the ^ati++++=the
protrusion ^nn+++??+=protrusion
of ^in++++=of
the ^ati++++=the
cotyledonary ^nn+nom+++=cotyledonary
petiole ^nn+++??+=petiole
by ^in++++=by
at ^rb++++=at
least ^rb"++++=least
2 ^zz++++=2
mm ^nnu++++=mm
as ^in++++=as
the ^ati++++=the
criterion ^nn++++=criterion
for ^in++++=for
germination ^nn+nom+++=germination
( ^zz++++=(Janick
janick ^nn+++??+=EXTRAWORD
& ^zz++++=&
paull ^np++++=Paull
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
baskin ^np++++=Baskin
& ^zz++++=&
baskin ^np++++=Baskin
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
