As ^in++++=As
an ^at++++=an
increasing ^jj+atrb++xvbg+=increasing
number ^nn++++=number
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
s ^zz++++=s
languages ^nns+nom+++=languages
become ^vb++++=become
endangered ^vbd+++xvbn+=endangered,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
documentation ^nn+nom+++=documentation
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
critical ^jj+atrb+++=critical
resource ^nn++++=resource
for ^in++++=for
both ^abx++++=both
scholars ^nns++++=scholars
and ^cc++++=and
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
Documentary ^jj+atrb+++=Documentary
materials ^nns+nom+++=materials
provide ^vb+vsua+++=provide
an ^at++++=an
empirical ^jj+atrb+++=empirical
foundation ^nn+nom+++=foundation
for ^in++++=for
advancing ^xvbg+++xvbg+=advancing
knowledge ^nn++++=knowledge
of ^in++++=of
linguistic ^jj+atrb+++=linguistic
diversity ^nn+nom+++=diversity,
, ^zz++++=EXTRAWORD
serve ^vb++++=serve
as ^ql++++=as
records ^nns++++=records
of ^in++++=of
cultural ^jj+atrb+++=cultural
and ^cc+phrs+++=and
discursive ^jj+atrb+++=discursive
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
constitute ^vb++++=constitute
tangible ^jj+atrb+++=tangible
evidence ^nn+nom+++=evidence
of ^in++++=of
community ^nn+nom+++=community
heritage ^nn+nom+++=heritage,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
enabling ^vbg+nom++xvbg+=enabling
future ^jjb+atrb+++=future
generations ^nns+nom+++=generations
to ^in++++=to
access ^nn++++=access
the ^ati++++=the
linguistic ^jj+atrb+++=linguistic
and ^cc+phrs+++=and
cultural ^jj+atrb+++=cultural
expressions ^nns++++=expressions
of ^in++++=of
previous ^jj+atrb+++=previous
generations ^nns+nom+++=generations.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
materials ^nns+nom+++=materials
are ^vb+ber+vrb++=are
often ^rb++++=often
vulnerable ^jj+pred+++=vulnerable
to ^in++++=to
deterioration ^nn+nom+++=deterioration
and ^cc++++=and
loss ^nn++++=loss;
; ^zz++++=EXTRAWORD
analog ^nn+++??+=analog
media ^nns++++=media
such ^abl++++=such
as ^ql++++=as
audio ^vb+++??+=audio
and ^cc++++=and
video ^nn+++??+=video
cassettes ^nns+nom++??+=cassettes
degrade ^nn+++??+=degrade
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
written ^jj+atrb++xvbn+=written
records ^nns++++=records
are ^vb+ber+vrb++=are
susceptible ^jj+pred+++=susceptible
to ^in++++=to
physical ^jj+atrb+++=physical
damage ^nn++++=damage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
digital ^jj+atrb+++=digital
storage ^nn+nom+++=storage
devices ^nns++++=devices
face ^nn++++=face
risks ^nns++++=risks
from ^in++++=from
environmental ^jj+atrb+++=environmental
hazards ^nns++++=hazards
and ^cc++++=and
technological ^jj+atrb+++=technological
obsolescence ^nn+nom+++=obsolescence,
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
by ^in++++=by
incidents ^nns++++=incidents
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
2018 ^cd++++=2018
fire ^nn++++=fire
at ^rb++++=at
Brazil ^np++++=Brazil
s ^zz++++=s
Museu ^np+++??+=Museu
Nacional ^np+nom++??+=Nacional,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
numerous ^jj+atrb+++=numerous
valuable ^jj+atrb+++=valuable
recordings ^nns++++=recordings
and ^cc++++=and
manuscripts ^nns++++=manuscripts.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
growing ^jj+atrb++xvbg+=growing
reliance ^nn+nom+++=reliance
on ^in++++=on
digital ^jj+atrb+++=digital
archives ^nn++++=archives
as ^ql++++=as
essential ^nn++++=essential
tools ^nns++++=tools
for ^in++++=for
the ^ati++++=the
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
preservation ^nn+nom+++=preservation
and ^cc++++=and
accessibility ^nn+nom+++=accessibility
of ^in++++=of
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation
materials ^nns+nom+++=materials.
. ^zz++++=EXTRAWORD
