Regarding ^in++++=Regarding
language ^nn+nom+++=language
trends ^nns++++=trends,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Oliva ^np+++??+=OLIVA
corpus ^nn++++=corpus
demonstrates ^nns+nom+++=demonstrates
considerable ^jj+atrb+++=considerable
linguistic ^jj+atrb+++=linguistic
diversity ^nn+nom+++=diversity,
, ^zz++++=EXTRAWORD
in ^in++++=in
contrast ^nn++++=contrast
to ^in++++=to
the ^ati++++=the
predominance ^nn+nom+++=predominance
of ^in++++=of
English ^nn++++=English
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
mainstream ^nn++++=mainstream
databases ^nns+++??+=databases.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
diversity ^nn+nom+++=diversity
is ^vbz+bez+vrb++=is
attributable ^jj+pred+++=attributable
to ^in++++=to
the ^ati++++=the
region ^nn++++=region
s ^zz++++=s
development ^nn+nom+++=development
of ^in++++=of
multilingual ^jj+atrb+++=multilingual
indexing ^jj+atrb++xvbg+=indexing
and ^cc+phrs+++=and
publishing ^jj+atrb++xvbg+=publishing
protocols ^nns++++=protocols
and ^cc++++=and
infrastructures ^nns+++??+=infrastructures.
. ^zz++++=EXTRAWORD
As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Table ^nn++++=Table
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
Spanish ^jj++++=Spanish
and ^cc++++=and
Portuguese ^nn+nom+++=Portuguese
occupy ^vb++++=occupy
central ^jj+atrb+++=central
roles ^nns++++=roles,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
English ^jj+atrb+++=English
accounts ^nns++++=accounts
for ^in++++=for
23.9 ^cd++++=23.9%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
articles ^nns++++=articles.
. ^zz++++=EXTRAWORD
French ^jj++++=French
and ^cc++++=and
other ^ap++++=other
languages ^nns+nom+++=languages
are ^vb+ber+aux++=are
minimally ^rb++splt++=minimally
represented ^vpsv++agls+xvbnx+=represented,
, ^zz++++=EXTRAWORD
with ^in++++=with
some ^dti++++=some
languages ^nns+nom+++=languages
appearing ^vwbg+seem++xvbg+=appearing
only ^rb+down+++=only
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
Portuguese ^nn+nom+++=Portuguese
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
journals ^nns+nom+++=journals
published ^vbd+++xvbn+=published
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
62.4 ^cd++++=62.4%
% ^zz++++=EXTRAWORD
of ^in++++=of
articles ^nns++++=articles
are ^vb+ber+aux++=are
published ^vpsv++agls+xvbnx+=published
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese
and ^cc++++=and
34.6 ^cd++++=34.6%
% ^zz++++=EXTRAWORD
in ^in++++=in
English ^nn++++=English.
. ^zz++++=EXTRAWORD
The ^ati++++=The
proportion ^nn+nom+++=proportion
of ^in++++=of
English ^jj++++=English-language
- ^zz++++=EXTRAWORD
language ^nn+nom+++=EXTRAWORD
articles ^nns++++=articles
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
journals ^nns+nom+++=journals
is ^vbz+bez+vrb++=is
comparable ^jj+pred+++=comparable
to ^in++++=to
that ^dt+dem+++=that
in ^in++++=in
journals ^nns+nom+++=journals
from ^in++++=from
Puerto ^np+++??+=Puerto
Rico ^np+++??+=Rico
( ^zz++++=(50.5%),
50.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Chile ^np+++??+=Chile
( ^zz++++=(23.7%),
23.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mexico ^np++++=Mexico
( ^zz++++=(17.1%).
17.1% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
relatively ^rb++++=relatively
high ^jj+atrb+++=high
percentage ^nn+nom+++=percentage
of ^in++++=of
English ^nn++++=English
in ^in++++=in
Chilean ^np+++??+=Chilean
journals ^nns+nom+++=journals
may ^md+pos+++=may
reflect ^vb+vprv+++=reflect
an ^at++++=an
academic ^jj+atrb+++=academic
culture ^nn++++=culture
more ^rbr++++=more
aligned ^vbd+++xvbn+=aligned
with ^in++++=with
mainstream ^nn++++=mainstream
international ^jj+atrb+++=international
standards ^nns++++=standards,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
figures ^nns++++=figures
for ^in++++=for
Mexico ^np++++=Mexico
and ^cc++++=and
Puerto ^np+++??+=Puerto
Rico ^np++++=Rico
May ^md+pos+++=may
Be ^vb+be+aux++=be
Influenced ^vpsv++by+xvbn+=influenced
By ^in++++=by
Established ^jj+atrb+++=established
Academic ^jj+atrb+++=academic
Connections ^nns+nom+++=connections.
 ^zz++++=EXTRAWORD
