Capoeira ^np+++??+=Capoeira
may ^md+pos+++=may
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
dance ^nn++++=dance
to ^in++++=to
external ^jj+atrb+++=external
observers ^nns+nom+++=observers
because ^cs+cos+++=because
its ^pp$+it+++=its
movements ^nns+nom+++=movements
are ^vb+ber+aux++=are
performed ^vpsv++agls+xvbnx+=performed
in ^in++++=in
synchrony ^nn++++=synchrony
with ^in++++=with
music ^nn++++=music
and ^cc++++=and
the ^ati++++=the
two ^cd++++=two
participants ^nns+nom+++=participants
often ^rb++++=often
move ^nn++++=move
in ^in++++=in
a ^at++++=a
coordinated ^jj+atrb+++=coordinated
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
classification ^nn+nom+++=classification
of ^in++++=of
capoeira ^nn+++??+=capoeira
as ^ql++++=as
a ^at++++=a
dance ^nn++++=dance
is ^vbz+bez+vrb++=is
subject ^nn++++=subject
to ^in++++=to
debate ^nn++++=debate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
origins ^nns++++=origins
of ^in++++=of
capoeira ^nn+++??+=capoeira
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
traced ^vpsv++agls+xvbnx+=traced
to ^in++++=to
African ^jj+atrb+++=African
war ^nn++++=war
dances ^nns++++=dances,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Zebra ^np+++??+=Zebra
dance ^nn++++=dance
( ^zz++++=(Cobra
cobra ^nn+++??+=EXTRAWORD
Mansa ^np+++??+=Mansa;
; ^zz++++=EXTRAWORD
Assun ^np+++??+=Assun
o ^zz++++=o,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
incorporated ^vbd+++xvbn+=incorporated
combative ^jj+atrb+++=combative
elements ^nns+nom+++=elements,
, ^zz++++=EXTRAWORD
including ^in++++=including
kicks ^nns++++=kicks.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
distinction ^nn+nom+++=distinction
between ^in++++=between
dance ^nn++++=dance
and ^cc++++=and
combat ^nn++++=combat
in ^in++++=in
capoeira ^nn+++??+=capoeira
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
always ^rb++++=always
clear ^jj++++=clear.
. ^zz++++=EXTRAWORD
Similar ^jj+atrb+++=Similar
combative ^jj+atrb+++=combative
elements ^nns+nom+++=elements
are ^vb+ber+vrb++=are
also ^rb++++=also
present ^jj+pred+++=present
in ^in++++=in
certain ^jj+atrb+++=certain
styles ^nns++++=styles
of ^in++++=of
samba ^nn+++??+=samba,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
likewise ^rb+cnj+++=likewise
have ^vb+hv+vrb++=have
roots ^nns++++=roots
in ^in++++=in
african ^jj+atrb+++=African
traditions ^nns+nom+++=traditions.
. ^zz++++=EXTRAWORD
