Extensive ^jj+atrb+++=Extensive
documentation ^nn+nom+++=documentation
and ^cc++++=and
description ^nn+nom+++=description
are ^vb+ber+vrb++=are
now ^rn+tm+++=now
available ^jj+pred+++=available
for ^in++++=for
the ^ati++++=the
Paresi ^np+++??+=Paresi
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
through ^in++++=through
the ^ati++++=the
independent ^jj+atrb+++=independent
efforts ^nns++++=efforts
of ^in++++=of
Ana ^np+++??+=Ana
Paula ^np++++=Paula
Brand ^nn++++=Brand
o ^zz++++=o
and ^cc++++=and
Glauber ^np+++??+=Glauber
Silva ^np+++??+=Silva
over ^in++++=over
several ^ap++++=several
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Key ^jjb+atrb+++=Key
descriptive ^jj+atrb+++=descriptive
works ^nns++++=works
on ^in++++=on
Paresi ^np+++??+=Paresi
include ^vb++++=include
Silva ^np+++??+=Silva
( ^zz++++=(2009,
2009 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Brand ^nn++++=Brand
o ^zz++++=o
( ^zz++++=(2010,
2010 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
research ^nn++++=research
on ^in++++=on
Enawene ^np+++??+=Enawene
Nawe ^np+++??+=Nawe
( ^zz++++=(EN)
en ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
relatively ^rb++++=relatively
recent ^jj+pred+++=recent,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
principal ^jjb+atrb+++=principal
descriptive ^jj+atrb+++=descriptive
sources ^nns++++=sources
being ^vwbg+beg++xvbg+=being
Rezende ^np+++??+=Rezende
( ^zz++++=(2003,
2003 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Brand ^nn++++=Brand
o ^zz++++=o
and ^cc++++=and
Reis ^np+++??+=Reis
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Reis ^np+++??+=Reis
( ^zz++++=(2020).
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
project ^nn++++=project
Sketch ^nn++++=Sketch
grammar ^nn++++=grammar,
, ^zz++++=EXTRAWORD
texts ^nns++++=texts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dictionary ^nn+nom+++=dictionary
of ^in++++=of
Enawene ^np+++??+=Enawene
Nawe ^np+++??+=Nawe
( ^zz++++=(Arawak,
arawak ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil)
) ^zz++++=EXTRAWORD
received ^vbd+++xvbn+=received
funding ^jj+++xvbg+=funding
from ^in++++=from
the ^ati++++=the
Endangered ^np+++??+=Endangered
Languages ^nns+nom+++=Languages
Documentation ^np+nom++??+=Documentation
Program ^np+++??+=Program
( ^zz++++=(ELDP)
eldp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
2005 ^cd++++=2005,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
completed ^vbd+++xvbn+=completed.
. ^zz++++=EXTRAWORD
In ^in++++=In
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
Brand ^nn++++=Brand
o ^zz++++=o
secured ^vbd+++xvbn+=secured
additional ^jj+atrb+++=additional
Eldp ^np+++??+=ELDP
funding ^vwbg+++xvbg+=funding,
, ^zz++++=EXTRAWORD
administered ^j+++xvbn+=administered
through ^in++++=through
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn+nom+++=University
of ^in++++=of
Par ^&fw++++=Par
, ^zz++++=,
for ^in++++=for
the ^ati++++=the
project ^nn++++=project
documentation ^np+nom+++=Documentation
of ^in++++=of
the ^ati++++=the
enawene ^np++++=Enawene
nawe ^np++++=Nawe
language ^nn+nom+++=language
. ^zz++++=.
