There ^rn+pl+++=There
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
two ^cd++++=two
primary ^jj++++=primary,
, ^zz++++=EXTRAWORD
overlapping ^jj+++xvbg+=overlapping
pathways ^rb++++=pathways
into ^in++++=into
employment ^nn+nom+++=employment
in ^in++++=in
the ^ati++++=the
Uk ^np++++=UK
for ^in++++=for
young ^jj+atrb+++=young
migrants ^nns+nom+++=migrants
from ^in++++=from
Timor ^np+++??+=Timor-Leste.
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
individuals ^nns+nom+++=individuals
have ^vb+hv+aux++=have
utilized ^vprf+++xvbnx+=utilized
established ^vbd+vprv++xvbn+=established
labour ^nn++++=labour
migration ^nn+nom+++=migration
routes ^nns++++=routes
from ^in++++=from
mainland ^nn++++=mainland
Portugal ^np+nom+++=Portugal
and ^cc++++=and
Madeira ^np++++=Madeira,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
entering ^vbg+++xvbg+=entering
the ^ati++++=the
rural ^jj+atrb+++=rural
sector ^nn++++=sector.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
has ^vbz+hvz+aux++=has
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
concentrations ^nns+nom+++=concentrations
of ^in++++=of
Timorese ^np+nom++??+=Timorese
migrant ^jj+atrb+++=migrant
workers ^nns+nom+++=workers
in ^in++++=in
small ^jj+atrb+++=small
towns ^nns++++=towns
and ^cc++++=and
rural ^jj+atrb+++=rural
areas ^nns++++=areas
of ^in++++=of
England ^np++++=England,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Devon ^np++++=Devon
and ^cc++++=and
Lincolnshire ^np++++=Lincolnshire,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
in ^in++++=in
County ^nn++++=County
Tyrone ^np++++=Tyrone,
, ^zz++++=EXTRAWORD
Northern ^jj+atrb+++=Northern
Ireland ^np++++=Ireland.
. ^zz++++=EXTRAWORD
In ^in++++=In
Northern ^np++++=Northern
Ireland ^np++++=Ireland,
, ^zz++++=EXTRAWORD
employment ^nn+nom+++=employment
opportunities ^nns+nom+++=opportunities
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
created ^vpsv++agls+xvbnx+=created
in ^in++++=in
food ^nn++++=food
production ^nn+nom+++=production
facilities ^nns+nom+++=facilities,
, ^zz++++=EXTRAWORD
including ^in++++=including
those ^dt+dem+++=those
specializing ^jj+++xvbg+=specializing
in ^in++++=in
the ^ati++++=the
processing ^jj+++xvbg+=processing
and ^cc++++=and
packaging ^nn++++=packaging
of ^in++++=of
poultry ^nn++++=poultry
and ^cc++++=and
other ^ap++++=other
meats ^nns++++=meats
( ^zz++++=(Doyle
doyle ^np++++=EXTRAWORD
& ^zz++++=&
Mcareavey ^np+++??+=McAreavey,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
Timorese ^np+nom++??+=Timorese
migrants ^nns+nom+++=migrants
have ^vb+hv+aux++=have
settled ^vprf+++xvbnx+=settled
in ^in++++=in
urban ^jj+atrb+++=urban
areas ^nns++++=areas,
