Since ^in++++=Since
independence ^nn+nom+++=independence
in ^in++++=in
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
pattern ^nn++++=pattern
of ^in++++=of
transnational ^jj+atrb+++=transnational
migration ^nn+nom+++=migration
has ^vbz+hvz+aux++=has
emerged ^vprf+++xvbnx+=emerged,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
substantial ^jj+atrb+++=substantial
number ^nn++++=number
of ^in++++=of
young ^jj+atrb+++=young
Timorese ^np+nom++??+=Timorese
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
seeking ^vwbg+++xvbg+=seeking
employment ^nn+nom+++=employment
opportunities ^nns+nom+++=opportunities
in ^in++++=in
Indonesia ^np++++=Indonesia,
, ^zz++++=EXTRAWORD
South ^nr+pl+++=South
Korea ^np++++=Korea,
, ^zz++++=EXTRAWORD
Australia ^np++++=Australia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Western ^jj+atrb+++=Western
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
Following ^jj+atrb++xvbg+=Following
independence ^nn+nom+++=independence,
, ^zz++++=EXTRAWORD
Portugal ^np+nom+++=Portugal
allowed ^vwbn+++xvbn+=allowed
all ^abn++++=all
individuals ^nns+nom+++=individuals
born ^vwbn+++xvbn+=born
in ^in++++=in
Timor ^np+++??+=Timor-Leste
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
before ^in++++=before
May ^md+pos+++=May
20 ^cd++++=20,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
to ^to++++=to
apply ^vbi++++=apply
for ^in++++=for
Portuguese ^jj+atrb+++=Portuguese
citizenship ^nn+nom+++=citizenship,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
granting ^jj+++xvbg+=granting
them ^pp3o+pp3+++=them
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
reside ^vbi++++=reside
and ^cc++++=and
work ^nn++++=work
in ^in++++=in
Portugal ^np+nom+++=Portugal
and ^cc++++=and
other ^ap++++=other
European ^jj+atrb+++=European
Union ^nn++++=Union
( ^zz++++=(EU)
eu ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
member ^nn++++=member
states ^nns++++=states.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
policy ^nn++++=policy
was ^vbd+bedz+aux++=was
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that,
, ^zz++++=EXTRAWORD
under ^in++++=under
international ^jj+atrb+++=international
law ^nn++++=law,
, ^zz++++=EXTRAWORD
the ^ati++++=the
eastern ^jj+atrb+++=eastern
region ^nn++++=region
of ^in++++=of
the ^ati++++=the
island ^nn++++=island
of ^in++++=of
Timor ^np+++??+=Timor
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
a ^at++++=a
Portuguese ^jj+atrb+++=Portuguese
colony ^nn++++=colony
until ^in++++=until
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
as ^ql++++=as
neither ^dt++neg++=neither
Portugal ^np+nom+++=Portugal
nor ^cc++neg++=nor
the ^ati++++=the
United ^jj+atrb+++=United
Nations ^nns+nom+++=Nations
recognized ^vwbn+vprv++xvbn+=recognized
the ^ati++++=the
Indonesian ^np+++??+=Indonesian
occupation ^nn+nom+++=occupation
and ^cc++++=and
administration ^nn+nom+++=administration
of ^in++++=of
the ^ati++++=the
territory ^nn++++=territory
from ^in++++=from
1975 ^cd+date+++=1975
to ^to++++=to
2002 ^cd++++=2002.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
political ^jj+atrb+++=political
and ^cc+phrs+++=and
legal ^jj+atrb+++=legal
framework ^nn++++=framework
contributed ^vbd+++xvbn+=contributed
to ^to++++=to
reducing ^vbi++++=reducing
high ^jj+atrb+++=high
levels ^nns++++=levels
of ^in++++=of
youth ^nn++++=youth
unemployment ^nn+nom+++=unemployment
in ^in++++=in
urban ^jj+atrb+++=urban
areas ^nns++++=areas
of ^in++++=of
Timor ^np+++??+=Timor-Leste
 ^zz++++=EXTRAWORD
Leste ^nn++++=EXTRAWORD
In ^in++++=in
The ^ati++++=the
Years ^nns++++=years
Immediately ^rb+tm+++=immediately
Following ^jj+atrb+++=following
Independence ^nn+nom+++=independence.
 ^zz++++=EXTRAWORD
