First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
conducting ^vbg+++xvbg+=conducting
a ^at++++=a
global ^jj+atrb+++=global
investigation ^nn+nom+++=investigation
of ^in++++=of
the ^ati++++=the
target ^nn++++=target
discourse ^nn++++=discourse
community ^nn+nom+++=community
addressed ^vbd+++xvbn+=addressed
the ^ati++++=the
specific ^jj+atrb+++=specific
needs ^nns++++=needs
of ^in++++=of
the ^ati++++=the
intended ^jj+atrb++xvbn+=intended
audience ^nn+nom+++=audience,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely
students ^nns++++=students
from ^in++++=from
various ^jj+atrb+++=various
regions ^nns++++=regions
of ^in++++=of
Brazil ^np++++=Brazil
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
share ^vbi++++=share
their ^pp$+pp3+++=their
research ^nn++++=research
findings ^nns++++=findings
with ^in++++=with
peers ^nns++++=peers
worldwide ^nn+++??+=worldwide.
. ^zz++++=EXTRAWORD
The ^ati++++=The
diverse ^jj+atrb+++=diverse
backgrounds ^nns++++=backgrounds
of ^in++++=of
these ^dt+dem+++=these
students ^nns++++=students
have ^vb+hv+aux++=have
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
varying ^xvbg+++xvbg+=varying
levels ^nns++++=levels
of ^in++++=of
experience ^nn+nom+++=experience
with ^in++++=with
academic ^jj+atrb+++=academic
literacy ^nn+nom+++=literacy
and ^cc++++=and
publication ^nn+nom+++=publication,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
be ^vb+be+aux++=be
effectively ^rb++splt++=effectively
examined ^vpsv++agls+xvbnx+=examined
remotely ^rb++++=remotely.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
not ^xnot++not++=not
only ^ap+down+++=only
broadened ^jj+++xvbn+=broadened
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
the ^ati++++=the
contextual ^nn+nom+++=contextual
Tsa ^np+++??+=TSA
but ^cc++++=but
also ^rb++++=also
optimized ^vbd+++xvbn+=optimized
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
time ^nn++++=time
and ^cc++++=and
resources ^nns++++=resources
during ^in++++=during
course ^nn++++=course
preparation ^nn+nom+++=preparation.
. ^zz++++=EXTRAWORD
