Several ^ap++++=Several
theoretical ^jj+atrb+++=theoretical
models ^nns++++=models
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
developed ^vpsv++agls+xvbnx+=developed
to ^to++++=to
explain ^vbi+vpub+++=explain
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Process ^nns+nom+++=Process
Model ^nn++++=Model
of ^in++++=of
Emotion ^nn+nom+++=Emotion
Regulation ^nn+nom+++=Regulation
( ^zz++++=(Gross,
gross ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Gross ^jj+atrb+++=Gross
& ^zz++++=&
Thompson ^np++++=Thompson,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007)
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
particularly ^rb++++=particularly
applicable ^jj++++=applicable
to ^in++++=to
educational ^jj+atrb+++=educational
contexts ^nns++++=contexts
( ^zz++++=(Buri
buri ^nn+++??+=EXTRAWORD
, ^zz++++=,
Sori ^np+++??+=Sori
, ^zz++++=,
& ^zz++++=&
Penezi ^np+++??+=Penezi
, ^zz++++=,
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
model ^nn++++=model
categorizes ^vbz++++=categorizes
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns+++??+=strategies
into ^in++++=into
five ^cd++++=five
families ^nns++++=families
that ^tht+rel+subj++=that
correspond ^vb++++=correspond
to ^in++++=to
different ^jj+atrb+++=different
stages ^nns++++=stages
from ^in++++=from
the ^ati++++=the
initiation ^nn+nom+++=initiation
to ^in++++=to
the ^ati++++=the
expression ^nn++++=expression
of ^in++++=of
emotion ^nn+nom+++=emotion
( ^zz++++=(Gross,
gross ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015):
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
situation ^nn+nom+++=situation
selection ^nn+nom+++=selection,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
involves ^vbz++++=involves
choosing ^vb+++xvbg+=choosing
to ^to+vcmp+++=to
approach ^vb++++=approach
or ^cc++++=or
avoid ^vb++++=avoid
situations ^nns+nom+++=situations
likely ^jj++++=likely
to ^to+jcmp+++=to
elicit ^vbi++++=elicit
specific ^jj+atrb+++=specific
emotions ^nns+nom+++=emotions;
; ^zz++++=EXTRAWORD
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
situation ^nn+nom+++=situation
modification ^nn+nom+++=modification,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
entails ^vbz++++=entails
altering ^jj+atrb++xvbg+=altering
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
external ^jj+atrb+++=external
environment ^nn+nom+++=environment
to ^in++++=to
influence ^nn+nom+++=influence
its ^pp$+it+++=its
emotional ^jj+atrb+++=emotional
impact ^nn++++=impact;
; ^zz++++=EXTRAWORD
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
attentional ^jj+atrb+++=attentional
deployment ^nn+nom+++=deployment,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
consists ^nns+nom+++=consists
of ^in++++=of
directing ^xvbg+++xvbg+=directing
attention ^nn+nom+++=attention
toward ^in++++=toward
or ^cc++++=or
away ^in+pl+++=away
from ^in"++++=from
certain ^jj+atrb+++=certain
internal ^jj+atrb+++=internal
or ^cc+phrs+++=or
external ^jj+atrb+++=external
stimuli ^nns++++=stimuli
to ^to++++=to
affect ^vbi++++=affect
emotional ^jj+atrb+++=emotional
responses ^nns++++=responses;
; ^zz++++=EXTRAWORD
( ^zz++++=(d)
d ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
cognitive ^jj+atrb+++=cognitive
change ^nn++++=change,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
involves ^vbz++++=involves
reinterpreting ^nvbg+++xvbg+=reinterpreting
the ^ati++++=the
meaning ^jj+++xvbg+=meaning
of ^in++++=of
situations ^nns+nom+++=situations
to ^to++++=to
modify ^vbi++++=modify
their ^pp$+pp3+++=their
emotional ^jj+atrb+++=emotional
significance ^nn+nom+++=significance;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(e)
e ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
response ^nn++++=response
modulation ^nn+nom+++=modulation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
direct ^jj+atrb+++=direct
regulation ^nn+nom+++=regulation
of ^in++++=of
physiological ^jj++++=physiological,
, ^zz++++=EXTRAWORD
experiential ^jj++++=experiential,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
behavioral ^jj+atrb+++=behavioral
responses ^nns++++=responses
after ^cs+sub+++=after
an ^at++++=an
emotion ^nn+nom+++=emotion
has ^vbz+hvz+aux++=has
been ^vbd+ben+aux++=been
fully ^rb+amp+splt++=fully
generated ^vpsv++agls+xvbn+=generated.
. ^zz++++=EXTRAWORD
