Germination ^np+nom++??+=Germination
of ^in++++=of
pretreated ^vbd+++xvbn+=pretreated
pyrenes ^nns+++??+=pyrenes
Freshly ^rb++++=Freshly
harvested ^vwbn+++xvbn+=harvested
pyrenes ^nns+++??+=pyrenes
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
assess ^vb++++=assess
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
water ^nn++++=water
soaking ^xvbg+++xvbg+=soaking
compared ^vwbn+++xvbn+=compared
to ^to++++=to
untreated ^vbi++++=untreated
controls ^nns++++=controls
under ^in++++=under
laboratory ^nn++++=laboratory
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
pretreatment ^nn+nom+++=pretreatment,
, ^zz++++=EXTRAWORD
pyrenes ^nns+++??+=pyrenes
were ^vbd+bed+aux++=were
immersed ^vpsv++agls+xvbnx+=immersed
in ^in++++=in
water ^nn++++=water
at ^in++++=at
room ^nn++++=room
temperature ^nn++++=temperature
( ^zz++++=(approximately
approximately ^rb+down+++=EXTRAWORD
25 ^cd++++=25
C ^zz++++=C)
) ^zz++++=EXTRAWORD
for ^in++++=for
24 ^cd++++=24,
, ^zz++++=EXTRAWORD
48 ^cd++++=48,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
72 ^cd++++=72
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
in ^in++++=in
hot ^jj+atrb+++=hot
water ^nn++++=water
at ^in++++=at
75 ^cd++++=75
C ^zz++++=C
for ^in++++=for
either ^dtx++++=either
5 ^zz++++=5
or ^cc++++=or
10 ^cd++++=10
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
seeds ^nns++++=seeds
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
plastic ^nn++++=plastic
trays ^nns++++=trays
( ^zz++++=(20
20 ^cd++++=EXTRAWORD
30 ^cd++++=30
9 ^zz++++=9
cm ^nnu++++=cm)
) ^zz++++=EXTRAWORD
and ^cc++++=and
kept ^vbd+++xvbn+=kept
immersed ^vbd+++xvbn+=immersed
under ^in++++=under
constant ^jj+atrb+++=constant
fluorescent ^jj+atrb+++=fluorescent
light ^nn++++=light
for ^in++++=for
the ^ati++++=the
specified ^jj+atrb+++=specified
durations ^nns+nom+++=durations,
, ^zz++++=EXTRAWORD
with ^in++++=with
water ^nn++++=water
replaced ^vpsv++agls+xvbn+=replaced
daily ^jj++++=daily.
. ^zz++++=EXTRAWORD
