Long ^jj++++=Long-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
polishing ^vbg+++xvbg+=polishing
generally ^rb+down+++=generally
enhances ^nns+nom+++=enhances
assembly ^nn++++=assembly
accuracy ^nn+nom+++=accuracy;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
result ^vb++++=result
in ^in++++=in
decreased ^vprf+++xvbn+=decreased
accuracy ^nn+nom+++=accuracy.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
always ^rb++++=always
evident ^jj++++=evident
whether ^cs+who+++=whether
the ^ati++++=the
unpolished ^jj+atrb++xvbn+=unpolished
assembly ^nn++++=assembly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Medaka ^np+++??+=Medaka-polished
- ^zz++++=EXTRAWORD
polished ^jj+atrb+++=EXTRAWORD
assembly ^nn++++=assembly,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
an ^at++++=an
alternative ^jj++++=alternative
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Clair3 ^np+++??+=Clair3-polished
- ^zz++++=EXTRAWORD
polished ^jj+atrb+++=EXTRAWORD
assembly ^nn++++=assembly
is ^vbz+bez+vrb++=is
optimal ^jj+pred+++=optimal.
. ^zz++++=EXTRAWORD
Ale ^nn++++=ALE
is ^vbz+bez+vrb++=is
a ^at++++=a
tool ^nn++++=tool
that ^tht+rel+subj++=that
quantifies ^vbz++++=quantifies
the ^ati++++=the
concordance ^nn+nom+++=concordance
between ^in++++=between
an ^at++++=an
assembly ^nn++++=assembly
and ^cc++++=and
a ^at++++=a
short ^jj++++=short-read
- ^zz++++=EXTRAWORD
read ^vb+vprv++xvbn+=EXTRAWORD
dataset ^nn+++??+=dataset,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
enabling ^vbg+nom++xvbg+=enabling
the ^ati++++=the
assessment ^nn+nom+++=assessment
of ^in++++=of
the ^ati++++=the
relative ^jj+atrb+++=relative
accuracy ^nn+nom+++=accuracy
of ^in++++=of
different ^jj+atrb+++=different
assemblies ^nns++++=assemblies.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
to ^to++++=to
use ^vbi++++=use
Ale ^nn++++=ALE
to ^to++++=to
inform ^vbi++++=inform
the ^ati++++=the
selection ^nn+nom+++=selection
of ^in++++=of
the ^ati++++=the
assembly ^nn++++=assembly
version ^nn++++=version
that ^tht+rel+subj++=that
should ^md+nec+++=should
proceed ^vb++++=proceed
to ^in++++=to
the ^ati++++=the
subsequent ^nn++++=subsequent
step ^vb++++=step
of ^in++++=of
short ^jj++++=short-read
- ^zz++++=EXTRAWORD
read ^vb+vprv+++=EXTRAWORD
polishing ^vbg+++xvbg+=polishing.
. ^zz++++=EXTRAWORD
