Teachers ^nns+nom+++=Teachers
employ ^vb++++=employ
strategies ^vbz+++??+=strategies
intended ^vbd+vsua++xvbn+=intended
to ^in+vcmp+++=to
preemptively ^jj++++=preemptively
mitigate ^nn+nom+++=mitigate
negative ^jj+atrb+++=negative
emotional ^jj+atrb+++=emotional
responses ^nns++++=responses,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
ignoring ^jj+++xvbg+=ignoring
minor ^jj+atrb+++=minor
behavioral ^jj+atrb+++=behavioral
infractions ^nns+nom+++=infractions
( ^zz++++=(Taxer
taxer ^jjr++++=EXTRAWORD
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Yin ^np+++??+=Yin,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016)
) ^zz++++=EXTRAWORD
or ^cc++++=or
focusing ^jj+++xvbg+=focusing
on ^in++++=on
positive ^jj+atrb+++=positive
aspects ^nns++++=aspects
like ^in++++=like
motivated ^vbd+++xvbn+=motivated
students ^nns++++=students
and ^cc++++=and
academic ^jj+atrb+++=academic
progress ^nns+nom+++=progress
( ^zz++++=(Taxer
taxer ^jjr++++=EXTRAWORD
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
avoidance ^nn+nom+++=avoidance
inherent ^jj++++=inherent
in ^in++++=in
these ^dt+dem+++=these
approaches ^nns++++=approaches
may ^md+pos+++=may
impede ^vb+++??+=impede
the ^ati++++=the
effective ^jj+atrb+++=effective
resolution ^nn+nom+++=resolution
of ^in++++=of
routine ^nn++++=routine
emotional ^jj+atrb+++=emotional
events ^nns++++=events
and ^cc++++=and
can ^md+pos+++=can
result ^vb++++=result
in ^in++++=in
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
negative ^jj+atrb+++=negative
consequences ^nns+nom+++=consequences
( ^zz++++=(Sheppes,
sheppes ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
strategies ^vbz+++??+=strategies
characterized ^vpsv++by+xvbn+=characterized
by ^in++++=by
excessive ^jj+atrb+++=excessive
worry ^nn++++=worry,
, ^zz++++=EXTRAWORD
rumination ^nn+nom+++=rumination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fault ^nn++++=fault
identification ^nn+nom+++=identification
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
negatively ^rb++splt++=negatively
affect ^vbi++++=affect
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
emotional ^jj+atrb+++=emotional
states ^nns++++=states
by ^in++++=by
anticipating ^xvbg+++xvbg+=anticipating,
, ^zz++++=EXTRAWORD
intensifying ^jj+++xvbg+=intensifying,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prolonging ^vbg+++xvbg+=prolonging
unpleasant ^jj+atrb+++=unpleasant
experiences ^nns+nom+++=experiences,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
emotional ^jj+atrb+++=emotional
and ^cc+phrs+++=and
physical ^jj+atrb+++=physical
exhaustion ^nn+nom+++=exhaustion
( ^zz++++=(Nelis
nelis ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
latter ^ap++++=latter
strategies ^nns+++??+=strategies
are ^vb+ber+aux++=are
therefore ^rb+cnj+splt++=therefore
considered ^vpsv++agls+xvbnx+=considered
counterproductive ^jj++++=counterproductive
in ^in++++=in
the ^ati++++=the
teaching ^jj+atrb++xvbg+=teaching
context ^nn++++=context,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
allocate ^nn+nom+++=allocate
cognitive ^jj+atrb+++=cognitive
and ^cc+phrs+++=and
emotional ^jj+atrb+++=emotional
resources ^nns++++=resources
to ^in++++=to
negative ^jj+atrb+++=negative
experiences ^nns+nom+++=experiences
rather ^rb++++=rather
than ^in++++=than
to ^in++++=to
the ^ati++++=the
resolution ^nn+nom+++=resolution
of ^in++++=of
persistent ^jj+atrb+++=persistent
classroom ^nn++++=classroom
challenges ^vbz++++=challenges,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
diminishing ^vbg+++xvbg+=diminishing
the ^ati++++=the
adaptive ^nn++++=adaptive
and ^cc++++=and
functional ^jj+atrb+++=functional
potential ^nn++++=potential
of ^in++++=of
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation.
. ^zz++++=EXTRAWORD
