Certain ^jj+atrb+++=Certain
cultural ^jj+atrb+++=cultural
concepts ^nns++++=concepts
associated ^vbd+++xvbn+=associated
with ^in++++=with
capoeira ^nn+++??+=capoeira
present ^vb++++=present
challenges ^vbz++++=challenges
for ^in++++=for
direct ^jj+atrb+++=direct
translation ^nn+nom+++=translation
into ^in++++=into
English ^nn++++=English.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
concepts ^nns++++=concepts
often ^rb++++=often
encompass ^nns+++??+=encompass
specific ^jj++++=specific
historical ^jj++++=historical,
, ^zz++++=EXTRAWORD
social ^jj++++=social,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
philosophical ^jj+atrb+++=philosophical
meanings ^nns++++=meanings
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
deeply ^rb++splt++=deeply
embedded ^vpsv++agls+xvbnx+=embedded
within ^in++++=within
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
context ^nn++++=context
of ^in++++=of
capoeira ^nn+++??+=capoeira
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
literal ^jj+atrb+++=literal
translations ^nns+nom+++=translations
may ^md+pos+++=may
fail ^vb++++=fail
to ^to+vcmp+++=to
convey ^vbi++++=convey
the ^ati++++=the
full ^jj+atrb+++=full
significance ^nn+nom+++=significance
or ^cc++++=or
nuance ^nn++++=nuance
of ^in++++=of
these ^dt+dem+++=these
terms ^nns++++=terms,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
leading ^jj+++xvbg+=leading
to ^in++++=to
misunderstandings ^nns++++=misunderstandings
or ^cc++++=or
oversimplifications ^nns+nom+++=oversimplifications
in ^in++++=in
cross ^jj++++=cross-cultural
- ^zz++++=EXTRAWORD
cultural ^jj+atrb+++=EXTRAWORD
communication ^nn+nom+++=communication
and ^cc++++=and
academic ^jj+atrb+++=academic
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
