Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
articles ^nns++++=articles
published ^vbd+++xvbn+=published
in ^in++++=in
journals ^nns+nom+++=journals
within ^in++++=within
the ^ati++++=the
fields ^nns++++=fields
of ^in++++=of
Agricultural ^jj+atrb+++=Agricultural
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
Medical ^jj++++=Medical
and ^cc++++=and
Health ^nn++++=Health
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Multidisciplinary ^np+nom++??+=Multidisciplinary
studies ^nns++++=studies
typically ^rb++++=typically
have ^vb+hv+vrb++=have
between ^in++++=between
four ^cd++++=four
and ^cc++++=and
eight ^cd++++=eight
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
articles ^nns++++=articles
with ^in++++=with
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
authors ^nns++++=authors
are ^vb+ber+aux++=are
more ^rbr++splt++=more
commonly ^rb++++=commonly
found ^vbd+vprv++xvbn+=found
in ^in++++=in
journals ^nns+nom+++=journals
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
Exact ^jj+atrb+++=Exact
and ^cc+phrs+++=and
Natural ^jj+atrb+++=Natural
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
Engineering ^nn++++=Engineering
and ^cc++++=and
Technology ^nn++++=Technology.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
Multidisciplinary ^np+nom++??+=Multidisciplinary
category ^nn++++=category,
, ^zz++++=EXTRAWORD
articles ^nns++++=articles
with ^in++++=with
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
authors ^nns++++=authors
constitute ^vb++++=constitute
approximately ^rb+down+++=approximately
40 ^cd++++=40%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^nn++++=total.
. ^zz++++=EXTRAWORD
