Data ^nns++++=Data
analysis ^nn++++=analysis
followed ^vbd+vprv+tht0+xvbn+=followed
the ^ati++++=the
methodology ^nn++++=methodology
outlined ^vwbn+++xvbn+=outlined
by ^in++++=by
Aaker ^np+++??+=Aaker
and ^cc++++=and
Day ^nn++++=Day
( ^zz++++=(1990),
1990 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
involves ^vbz++++=involves
conducting ^nvbg+++xvbg+=conducting
nominal ^jj+atrb+++=nominal
and ^cc+phrs+++=and
ordinal ^jj+atrb+++=ordinal
analyses ^nns++++=analyses
of ^in++++=of
tabulated ^vwbn+++xvbn+=tabulated
data ^nns++++=data.
. ^zz++++=EXTRAWORD
Nominal ^jj+atrb+++=Nominal
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
identify ^vb++++=identify
the ^ati++++=the
personal ^jj++++=personal,
, ^zz++++=EXTRAWORD
academic ^jj++++=academic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
professional ^jj+atrb+++=professional
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
participants ^nns+nom+++=participants,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
ordinal ^jj+atrb+++=ordinal
analysis ^nn++++=analysis
focused ^vbd+++xvbn+=focused
on ^in++++=on
examining ^xvbg+++xvbg+=examining
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
recurring ^jj+atrb+++=recurring
features ^nns++++=features
among ^in++++=among
respondents ^nns++++=respondents.
. ^zz++++=EXTRAWORD
The ^ati++++=The
online ^nn+++??+=online
format ^nn++++=format
of ^in++++=of
the ^ati++++=the
questionnaire ^nn++++=questionnaire
enabled ^vbd+++xvbn+=enabled
automatic ^jj+atrb+++=automatic
data ^nns++++=data
tabulation ^nn+nom+++=tabulation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Microsoft ^np+++??+=Microsoft
Word ^nn++++=Word
and ^cc++++=and
Excel ^np+++??+=Excel
were ^vbd+bed+aux++=were
utilized ^vpsv++agls+xvbnx+=utilized
for ^in++++=for
data ^nns++++=data
description ^nn+nom+++=description,
, ^zz++++=EXTRAWORD
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
tables ^nns++++=tables
and ^cc++++=and
charts ^nns++++=charts.
. ^zz++++=EXTRAWORD
