Although ^cs+con+++=Although
Tiago ^np+++??+=Tiago
executes ^vbz++++=executes
multiple ^jj+atrb+++=multiple
consecutive ^jj+atrb+++=consecutive
attacks ^nns++++=attacks
towards ^in++++=towards
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
extract ^nn++++=extract,
, ^zz++++=EXTRAWORD
a ^at++++=a
regular ^jj+atrb+++=regular
pattern ^nn++++=pattern
is ^vbz+bez+vrb++=is
observable ^jj+pred+++=observable.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+aux++=be
noted ^vpsv++agls+xvbnx+=noted
that ^tht+vcmp+++=that
this ^dt+dem+++=this
pattern ^nn++++=pattern
is ^vbz+bez+aux++=is
simplified ^vpsv++agls+xvbnx+=simplified
and ^cc++++=and
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
account ^nn++++=account
for ^in++++=for
counter ^nn++++=counter-attacks,
- ^zz++++=EXTRAWORD
attacks ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
a ^at++++=a
rasteira ^nn++++=rasteira
( ^zz++++=(a
a ^at++++=EXTRAWORD
sweep ^nn++++=sweep)
) ^zz++++=EXTRAWORD
performed ^vpsv++agls+xvbn+=performed
while ^cs+sub+++=while
evading ^jj++++=evading.
. ^zz++++=EXTRAWORD
