Although ^cs+con+++=Although
physical ^jj+atrb+++=physical
contact ^nn++++=contact
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
avoided ^vpsv++agls+xvbnx+=avoided
during ^in++++=during
the ^ati++++=the
capoeira ^nn+++??+=capoeira
game ^nn++++=game
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
occur ^vb++++=occur
in ^in++++=in
certain ^jj+atrb+++=certain
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
during ^in++++=during
greetings ^nns++++=greetings
where ^wrb+who+++=where
capoeiristas ^nns+++??+=capoeiristas
often ^rb++++=often
embrace ^vb++++=embrace
each ^dt++++=each
other ^ap++++=other
at ^in++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
and ^cc++++=and
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
game ^nn++++=game
and ^cc++++=and
in ^in++++=in
ritualistic ^jj+atrb+++=ritualistic
movements ^nns+nom+++=movements,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
volta ^nn++++=volta
ao ^nn++++=ao
mundo ^nn++++=mundo
and ^cc++++=and
chamada ^nn++++=chamada.
. ^zz++++=EXTRAWORD
