Cut ^vbd+++xvbn+=Cut-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
points ^nns++++=points
were ^vbd+bed+aux++=were
determined ^vpsv++by+xvbnx+=determined
by ^in++++=by
calculating ^xvbg+++xvbg+=calculating
percentile ^nn+++??+=percentile
values ^nns++++=values,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
quartiles ^nns+++??+=quartiles,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
Spss ^np+++??+=SPSS
20.0 ^cd++++=20.0
for ^in++++=for
the ^ati++++=the
nine ^cd++++=nine
subtests ^nns+++??+=subtests
of ^in++++=of
the ^ati++++=the
B ^zz++++=B-PREA-R.
- ^zz++++=EXTRAWORD
prea ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
r ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
identify ^vbi++++=identify
children ^nns++++=children
with ^in++++=with
low ^jj+atrb+++=low
and ^cc+phrs+++=and
high ^jj+atrb+++=high
abilities ^nns+nom+++=abilities
relative ^jj++++=relative
to ^to++++=to
their ^pp$+pp3+++=their
age ^nn++++=age.
. ^zz++++=EXTRAWORD
