All ^abn++++=All
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
core ^nn++++=core
group ^nn++++=group
possessed ^vbd+++xvbn+=possessed
modest ^jj+atrb+++=modest
material ^nn++++=material
resources ^nns++++=resources
at ^in++++=at
the ^ati++++=the
time ^nn++++=time
they ^pp3a+pp3+++=they
decided ^vbd+vprv++xvbnx+=decided
to ^to+vcmp+++=to
migrate ^nn+nom+++=migrate
north ^nr+pl+++=north.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
resources ^nns++++=resources
were ^vbd+bed+vrb++=were
sufficient ^jj+pred+++=sufficient
to ^to+jcmp+++=to
cover ^vbi++++=cover
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
a ^at++++=a
long ^jj++++=long-haul
- ^zz++++=EXTRAWORD
haul ^vb++++=EXTRAWORD
flight ^nn++++=flight
from ^in++++=from
Timor ^np+++??+=Timor-Leste
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
to ^in++++=to
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
their ^pp$+pp3+++=their
living ^nvbg+++xvbg+=living
expenses ^nns++++=expenses
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
sought ^vbd+++xvbn+=sought
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
