Aims ^nns++++=Aims
and ^cc++++=and
objectives ^nns++++=objectives:
: ^zz++++=EXTRAWORD
The ^ati++++=The
aim ^nn++++=aim
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+vrb++=is
to ^to++++=to
systematically ^rb++++=systematically
map ^vb++++=map
and ^cc++++=and
synthesize ^vb++++=synthesize
the ^ati++++=the
existing ^jj+atrb++xvbg+=existing
literature ^nn++++=literature
on ^in++++=on
topical ^jj+atrb+++=topical
therapies ^nns+++??+=therapies
for ^in++++=for
the ^ati++++=the
management ^nn+nom+++=management
of ^in++++=of
pain ^nn++++=pain
associated ^vbd+++xvbn+=associated
with ^in++++=with
malignant ^jj+atrb+++=malignant
fungating ^jj+atrb++xvbg+=fungating
wounds ^nns++++=wounds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
identify ^vbi++++=identify
gaps ^nns++++=gaps
in ^in++++=in
the ^ati++++=the
current ^jj+atrb+++=current
evidence ^nn+nom+++=evidence
base ^nn++++=base.
. ^zz++++=EXTRAWORD
