A ^at++++=A
capoeira ^nn+++??+=capoeira
disc ^nn++++=disc
pulo ^nn+++??+=pulo
develops ^vbz++++=develops
both ^abx++++=both
a ^at++++=a
specific ^jj+atrb+++=specific
mindset ^nn+++??+=mindset
and ^cc++++=and
a ^at++++=a
particular ^jj+atrb+++=particular
physical ^jj+atrb+++=physical
disposition ^nn+nom+++=disposition.
. ^zz++++=EXTRAWORD
The ^ati++++=The
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
an ^at++++=an
individual ^jj+atrb+++=individual
practices ^nns++++=practices
capoeira ^nn+++??+=capoeira
is ^vbz+bez+aux++=is
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
group ^nn++++=group
to ^to++++=to
which ^whp+who+++=which
they ^pp3a+pp3+++=they
belong ^vb++++=belong,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
by ^in++++=by
their ^pp$+pp3+++=their
unique ^jj+atrb+++=unique
biological ^jj+atrb+++=biological
and ^cc+phrs+++=and
biographical ^jj+atrb+++=biographical
factors ^nns++++=factors
( ^zz++++=(2008,
2008 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
70 ^cd++++=70).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
