Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
these ^dt+pdem+++=these
challenges ^vbz++++=challenges
existed ^vbd+++xvbn+=existed
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
help ^vb++++=help
to ^to+vcmp+++=to
explain ^vbi+vpub+tht0++=explain
the ^ati++++=the
significant ^jj+atrb+++=significant
difficulties ^nns++++=difficulties
encountered ^vwbn+++xvbn+=encountered
by ^in++++=by
school ^nn++++=school
staff ^nn++++=staff,
, ^zz++++=EXTRAWORD
parents ^nns++++=parents,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
students ^nns++++=students
in ^in++++=in
rapidly ^rb++++=rapidly
adapting ^jj+++xvbg+=adapting
to ^in++++=to
emergency ^nn++++=emergency
remote ^jj+atrb+++=remote
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
before ^in++++=before
promoting ^xvbg+++xvbg+=promoting
or ^cc++++=or
implementing ^xvbg+++xvbg+=implementing
various ^jj+atrb+++=various
models ^nns++++=models
of ^in++++=of
distance ^nn+nom+++=distance
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
that ^tht+jcmp+++=that
public ^jj+atrb+++=public
authorities ^nns+nom+++=authorities
take ^vb++++=take
responsibility ^nn+nom+++=responsibility
for ^in++++=for
the ^ati++++=the
regular ^jj+atrb+++=regular
renewal ^nn++++=renewal
and ^cc++++=and
maintenance ^nn+nom+++=maintenance
of ^in++++=of
adequate ^jj+atrb+++=adequate
technological ^jj+atrb+++=technological
infrastructure ^nn+++??+=infrastructure
in ^in++++=in
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
for ^in++++=for
targeted ^jj+atrb++xvbn+=targeted
teacher ^nn++++=teacher
training ^nn++++=training.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Brenda ^np++++=Brenda
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018,
2018 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
observe ^vb+vprv+++=observe,
, ^zz++++=EXTRAWORD
the ^ati++++=the
state ^nn++++=state
has ^vbz+hvz+aux++=has
retreated ^vprf+++xvbnx+=retreated
from ^in++++=from
the ^ati++++=the
social ^jj+atrb+++=social
commons ^nps++++=commons,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
appearing ^vbg+seem++xvbg+=appearing
to ^to+vcmp+++=to
aid ^vb++++=aid
the ^ati++++=the
grip ^nn++++=grip
of ^in++++=of
privatization ^nn+nom+++=privatization
and ^cc++++=and
speculation ^nn+nom+++=speculation.
. ^zz++++=EXTRAWORD
Public ^jj+atrb+++=Public
authorities ^nns+nom+++=authorities
should ^md+nec+++=should
also ^rb++splt++=also
develop ^vb++++=develop
initiatives ^nns++++=initiatives
to ^to++++=to
support ^vbi++++=support
increased ^jj+atrb++xvbn+=increased
access ^nn++++=access
to ^in++++=to
information ^nn+nom+++=information
technology ^nn++++=technology
in ^in++++=in
households ^nns++++=households
with ^in++++=with
students ^nns++++=students.
. ^zz++++=EXTRAWORD
Including ^in++++=Including
such ^abl++++=such
measures ^nns++++=measures
in ^in++++=in
the ^ati++++=the
national ^jj+atrb+++=national
curriculum ^nn++++=curriculum
is ^vbz+bez+vrb++=is
insufficient ^jj+pred+++=insufficient;
; ^zz++++=EXTRAWORD
the ^ati++++=the
state ^nn++++=state
must ^md+nec+++=must
ensure ^vb+vprv+++=ensure
that ^tht+vcmp+++=that
the ^ati++++=the
population ^nn+nom+++=population
has ^vbz+hvz+vrb++=has
the ^ati++++=the
necessary ^jj+atrb+++=necessary
resources ^nns++++=resources
to ^to++++=to
participate ^nn+nom+++=participate
effectively ^rb++++=effectively
in ^in++++=in
distance ^nn+nom+++=distance
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
