There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
relationship ^nn+nom+++=relationship
between ^in++++=between
the ^ati++++=the
country ^nn++++=country
affiliation ^nn+nom+++=affiliation
of ^in++++=of
authors ^nns++++=authors
and ^cc++++=and
the ^ati++++=the
language ^nn+nom+++=language
of ^in++++=of
publication ^nn+nom+++=publication.
. ^zz++++=EXTRAWORD
Articles ^nns++++=Articles
authored ^vbd+++xvbn+=authored
exclusively ^rb++++=exclusively
by ^in++++=by
researchers ^nns+nom+++=researchers
from ^in++++=from
outside ^jjb+atrb+++=outside
Latin ^jj+atrb+++=Latin
America ^np++++=America
and ^cc++++=and
the ^ati++++=the
Caribbean ^np+nom++??+=Caribbean,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
constitute ^vb++++=constitute
8.5 ^cd++++=8.5%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
643,929 ^cd++++=643,929
articles ^nns++++=articles
with ^in++++=with
identified ^vbd+++xvbn+=identified
country ^nn++++=country
affiliation ^nn+nom+++=affiliation,
, ^zz++++=EXTRAWORD
account ^nn++++=account
for ^in++++=for
16.9 ^cd+date+++=16.9%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
articles ^nns++++=articles
published ^vbd+++xvbn+=published
in ^in++++=in
English ^nn++++=English.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
articles ^nns++++=articles
produced ^vbd+++xvbn+=produced
through ^in++++=through
collaboration ^nn+nom+++=collaboration
between ^in++++=between
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
author ^nn++++=author
from ^in++++=from
the ^ati++++=the
region ^nn++++=region
and ^cc++++=and
one ^pn++++=one
from ^in++++=from
outside ^jjb++++=outside
the ^ati++++=the
region ^nn++++=region
represent ^vb++++=represent
4.7 ^cd++++=4.7%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
articles ^nns++++=articles.
. ^zz++++=EXTRAWORD
In ^in++++=In
both ^abx++++=both
authorship ^nn+nom+++=authorship
categories ^nns++++=categories,
, ^zz++++=EXTRAWORD
English ^jj++++=English
is ^vbz+bez+vrb++=is
the ^ati++++=the
predominant ^jj+atrb+++=predominant
language ^nn+nom+++=language
of ^in++++=of
publication ^nn+nom+++=publication,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
49.9 ^cd++++=49.9%
% ^zz++++=EXTRAWORD
of ^in++++=of
articles ^nns++++=articles
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
international ^jj+atrb+++=international
collaboration ^nn+nom+++=collaboration
( ^zz++++=(30,307
30,307 ^cd++++=EXTRAWORD
articles ^nns++++=articles)
) ^zz++++=EXTRAWORD
and ^cc++++=and
52.4 ^cd++++=52.4%
% ^zz++++=EXTRAWORD
of ^in++++=of
articles ^nns++++=articles
authored ^vbd+++xvbn+=authored
solely ^rb++++=solely
by ^in++++=by
researchers ^nns+nom+++=researchers
from ^in++++=from
outside ^jjb++++=outside
the ^ati++++=the
region ^nn++++=region
( ^zz++++=(54,700
54,700 ^cd++++=EXTRAWORD
articles ^nns++++=articles).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
