Several ^ap++++=Several
well ^rb++++=well-structured
- ^zz++++=EXTRAWORD
structured ^jj+atrb++xvbn+=EXTRAWORD
linguistic ^jj+atrb+++=linguistic
documentation ^nn+nom+++=documentation
projects ^nns++++=projects,
, ^zz++++=EXTRAWORD
led ^xvbn+++xvbn+=led
by ^in++++=by
Brazilian ^jj+atrb+++=Brazilian
linguists ^nns+nom+++=linguists,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
currently ^rb++++=currently
underway ^rb++++=underway
and ^cc++++=and
are ^vb+ber+aux++=are
generating ^vbg+++xvbgx+=generating
substantial ^jj+atrb+++=substantial
amounts ^nns++++=amounts
of ^in++++=of
recorded ^vbn+vpub++xvbn+=recorded
data ^nns++++=data,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
increasing ^jj+++xvbg+=increasing
the ^ati++++=the
demand ^nn++++=demand
for ^in++++=for
professional ^jj+atrb+++=professional
archiving ^jj+atrb++xvbg+=archiving
solutions ^nns+nom+++=solutions.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Documentation ^np+nom++??+=Documentation
Center ^np+++??+=Center
at ^in++++=at
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn+nom+++=University
of ^in++++=of
Amap ^np+++??+=Amap
in ^in++++=in
Oiapoque ^np+++??+=Oiapoque
is ^vbz+bez+aux++=is
conducting ^vbg+++xvbgx+=conducting
documentation ^nn+nom+++=documentation
projects ^nns++++=projects
with ^in++++=with
the ^ati++++=the
Karipuna ^np+++??+=Karipuna
and ^cc++++=and
Galibi ^np+++??+=Galibi-Marworno
- ^zz++++=EXTRAWORD
marworno ^np++++=EXTRAWORD
communities ^nns+nom+++=communities
( ^zz++++=(coordinated
coordinated ^jj++++=EXTRAWORD
by ^in++++=by
Gelsama ^np+++??+=Gelsama
Mara ^np+++??+=Mara
Ferreira ^np+++??+=Ferreira
do ^vb+do+vrb++=do
Santos ^np++++=Santos)
) ^zz++++=EXTRAWORD
and ^cc++++=and
with ^in++++=with
the ^ati++++=the
Palikur ^np+++??+=Palikur
community ^nn+nom+++=community
( ^zz++++=(coordinated
coordinated ^jj++++=EXTRAWORD
by ^in++++=by
Elissandra ^np+++??+=Elissandra
Barros ^np+++??+=Barros
da ^np++++=da
Silva ^np+++??+=Silva).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
present ^vb++++=present,
, ^zz++++=EXTRAWORD
data ^nns++++=data
from ^in++++=from
these ^dt+dem+++=these
projects ^nns++++=projects
are ^vb+ber+aux++=are
stored ^vpsv++agls+xvbnx+=stored
on ^in++++=on
microcomputers ^nns+nom+++=microcomputers
and ^cc++++=and
external ^jj+atrb+++=external
hard ^jj+atrb+++=hard
drives ^nns++++=drives.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Galibi ^np+++??+=Galibi-Marworno
- ^zz++++=EXTRAWORD
marworno ^np++++=EXTRAWORD
project ^nn++++=project
has ^vbz+hvz+aux++=has
accumulated ^vprf+++xvbnx+=accumulated
13.5 ^cd++++=13.5
Gb ^np+++??+=GB
of ^in++++=of
audio ^nn+++??+=audio
files ^nns++++=files
( ^zz++++=(.wav),
. ^zz++++=EXTRAWORD
wav ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
403 ^cd++++=403
Gb ^np+++??+=GB
of ^in++++=of
video ^nn+++??+=video
files ^nns++++=files
( ^zz++++=(.mov,
. ^zz++++=EXTRAWORD
mov ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
. ^zz++++=.mp4),
mp4 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
51 ^cd++++=51
Gb ^np+++??+=GB
of ^in++++=of
photographs ^nns++++=photographs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
15 ^cd++++=15
Gb ^np+++??+=GB
of ^in++++=of
edited ^vbd+++xvbn+=edited
video ^nn+++??+=video.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Palikur ^np+++??+=Palikur
project ^nn++++=project
has ^vbz+hvz+aux++=has
collected ^vprf+++xvbnx+=collected
20 ^cd++++=20
Gb ^np+++??+=GB
of ^in++++=of
audio ^nn+++??+=audio,
, ^zz++++=EXTRAWORD
6 ^zz++++=6
Tb ^np+++??+=TB
of ^in++++=of
video ^nn+++??+=video
( ^zz++++=(.mp4),
. ^zz++++=EXTRAWORD
mp4 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
over ^in++++=over
100,000 ^cd++++=100,000
photographs ^nns++++=photographs
in ^in++++=in
Raw ^jj+atrb+++=RAW
format ^nn++++=format,
, ^zz++++=EXTRAWORD
amounting ^vbg+++xvbg+=amounting
to ^in++++=to
a ^at++++=a
total ^nn++++=total
of ^in++++=of
10 ^cd++++=10
tb ^np++++=TB.
. ^zz++++=EXTRAWORD
