Biomechanical ^np+++??+=Biomechanical
parameters ^nns+nom+++=parameters
were ^vbd+bed+aux++=were
assessed ^vpsv++by+xvbnx+=assessed
by ^in++++=by
calculating ^xvbg+++xvbg+=calculating
stem ^nn++++=stem
bending ^vwbg+++xvbg+=bending
stiffness ^nns+nom+++=stiffness
using ^vwbg+++xvbg+=using
a ^at++++=a
universal ^nn+nom+++=universal
testing ^vwbg+++xvbg+=testing
machine ^nn++++=machine
( ^zz++++=(MBioI,
mbioi ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Biopdi ^np+++??+=Biopdi,
, ^zz++++=EXTRAWORD
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil)
) ^zz++++=EXTRAWORD
equipped ^vbd+++xvbn+=equipped
with ^in++++=with
a ^at++++=a
5 ^zz++++=5
N ^zz++++=N
force ^nn++++=force
transducer ^jjr++++=transducer
and ^cc+phrs+++=and
operated ^jj+++xvbn+=operated
at ^rb++++=at
a ^at++++=a
constant ^jj+atrb+++=constant
speed ^nn++++=speed
of ^in++++=of
1 ^zz++++=1
mm ^nnu++++=mm
min ^nnu++++=min
. ^zz++++=.
A ^at++++=A
three ^cd++++=three-point
- ^zz++++=EXTRAWORD
point ^nn++++=EXTRAWORD
bending ^vwbg+++xvbg+=bending
test ^nn++++=test
was ^vbd+bedz+aux++=was
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
each ^dt++++=each
stem ^nn++++=stem
segment ^nn+nom+++=segment
in ^in++++=in
accordance ^nn+nom+++=accordance
with ^in"++++=with
the ^ati++++=the
protocols ^nns++++=protocols
described ^vwbn+++xvbn+=described
by ^in++++=by
Vincent ^np++++=Vincent
( ^zz++++=(1990b)
1990b ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Rowe ^np++++=Rowe
& ^zz++++=&
Speck ^nn++++=Speck
( ^zz++++=(1996).
1996 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
analyses ^nns++++=analyses
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
the ^ati++++=the
shear ^nn++++=shear
effect ^nn++++=effect
is ^vbz+bez+aux++=is
minimized ^vpsv++agls+xvbnx+=minimized
in ^in++++=in
this ^dt+dem+++=this
wood ^nn++++=wood
species ^nns++++=species
when ^wrb+who+++=when
the ^ati++++=the
span ^nn++++=span-to-depth
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
depth ^nn++++=EXTRAWORD
ratio ^nn++++=ratio
exceeds ^vbz++++=exceeds
20 ^cd++++=20
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Supplementary ^jj+atrb+++=Supplementary
Material ^nn++++=Material
Figure ^nn++++=Figure
S1 ^np+++??+=S1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
span ^nn++++=span-to-depth
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
depth ^nn++++=EXTRAWORD
ratio ^nn++++=ratio
was ^vbd+bedz+aux++=was
standardized ^vpsv++agls+xvbnx+=standardized
to ^to+vcmp+++=to
30 ^cd++++=30
to ^in++++=to
further ^jjb++++=further
reduce ^vb++++=reduce
shear ^nn++++=shear
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
recommendations ^nns+nom+++=recommendations
of ^in++++=of
Vincent ^np++++=Vincent
( ^zz++++=(1990b)
1990b ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Gerolamo ^np+++??+=Gerolamo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020).
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Displacement ^nn+nom+++=Displacement-force
- ^zz++++=EXTRAWORD
force ^nn++++=EXTRAWORD
curves ^nns++++=curves
for ^in++++=for
each ^dt++++=each
measurement ^nn+nom+++=measurement
interval ^nn+nom+++=interval
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
using ^vbg+++xvbg+=using
Mbioi ^np+++??+=MBioI
software ^vb+++??+=software
integrated ^vbd+++xvbn+=integrated
