At ^rb++++=At
this ^dt+dem+++=this
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
communication ^nn+nom+++=communication
among ^in++++=among
the ^ati++++=the
class ^nn++++=class
participants ^nns+nom+++=participants
is ^vbz+bez+vrb++=is
primarily ^rb+down+++=primarily
verbal ^jj+pred+++=verbal
and ^cc+phrs+++=and
supported ^jj+++xvbn+=supported
by ^in++++=by
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
resembling ^vbg+nom++xvbg+=resembling
informal ^jj+atrb+++=informal,
, ^zz++++=EXTRAWORD
everyday ^jjb+atrb+++=everyday
interactions ^nns+nom+++=interactions.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
includes ^nn++++=includes
routine ^jj+atrb+++=routine
translanguaging ^jj+atrb++xvbg+=translanguaging
practices ^nns++++=practices
involving ^vwbg+++xvbg+=involving
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
English ^jj++++=English,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
potentially ^rb++++=potentially
other ^ap++++=other
shared ^jj+atrb++xvbn+=shared
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
the ^ati++++=the
multilingual ^jj+atrb+++=multilingual
composition ^nn+nom+++=composition
of ^in++++=of
the ^ati++++=the
group ^nn++++=group.
. ^zz++++=EXTRAWORD
