By ^in++++=By
analyzing ^xvbg+++xvbg+=analyzing
25,671 ^cd++++=25,671
journals ^nns+nom+++=journals
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
largely ^rb++++=largely
absent ^jj+pred+++=absent
from ^in++++=from
commonly ^rb++++=commonly
used ^vbd+++xvbn+=used
journal ^nn++++=journal
indexes ^nns+++??+=indexes,
, ^zz++++=EXTRAWORD
including ^in++++=including
Web ^nn++++=Web
of ^in++++=of
Science ^nn+nom+++=Science
and ^cc++++=and
Scopus ^np+++??+=Scopus,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
provides ^vbz+vsua+++=provides
evidence ^nn+nom+++=evidence
that ^tht+rel+++=that
scholarly ^jj+atrb+++=scholarly
communication ^nn+nom+++=communication
is ^vbz+bez+aux++=is
more ^rbr++splt++=more
globally ^rb++++=globally
distributed ^vbd+++xvbn+=distributed
than ^in++++=than
is ^vbz+bez+aux++=is
often ^rb++splt++=often
recognized ^vpsv++agls+xvbnx+=recognized.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
utilize ^vb++++=utilize
the ^ati++++=the
open ^jj+atrb+++=open
source ^nn++++=source
publishing ^vwbg+++xvbg+=publishing
platform ^nn++++=platform
Open ^jj+atrb+++=Open
Journal ^nn++++=Journal
Systems ^nns++++=Systems
( ^zz++++=(OJS),
ojs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
collectively ^jj++++=collectively
published ^jj+++xvbn+=published
5.8 ^cd++++=5.8
million ^cd++++=million
items ^nns++++=items
and ^cc++++=and
are ^vb+ber+aux++=are
based ^vpsv++agls+xvbnx+=based
in ^in++++=in
136 ^cd++++=136
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
with ^in++++=with
79.9 ^cd++++=79.9%
% ^zz++++=EXTRAWORD
located ^vbd+++xvbn+=located
in ^in++++=in
the ^ati++++=the
Global ^jj+atrb+++=Global
South ^np+pl+++=South
and ^cc++++=and
84.2 ^cd++++=84.2%
% ^zz++++=EXTRAWORD
operating ^vbg+++xvbg+=operating
under ^in++++=under
the ^ati++++=the
Oa ^np+++??+=OA
diamond ^nn++++=diamond
model ^nn++++=model
( ^zz++++=(charging
charging ^vbg+++xvbg+=EXTRAWORD
neither ^dt++neg++=neither
readers ^nns+nom+++=readers
nor ^cc++neg++=nor
authors ^nns++++=authors).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
significant ^jj+atrb+++=significant
proportion ^nn+nom+++=proportion
of ^in++++=of
these ^dt+dem+++=these
journals ^nns+nom+++=journals
publish ^vb++++=publish
in ^in++++=in
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
language ^nn+nom+++=language
( ^zz++++=(48.3%),
48.3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
research ^nn++++=research
is ^vbz+bez+aux++=is
disseminated ^vpsv++agls+xvbnx+=disseminated
in ^in++++=in
a ^at++++=a
total ^nn++++=total
of ^in++++=of
60 ^cd++++=60
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
with ^in++++=with
English ^nn++++=English,
, ^zz++++=EXTRAWORD
Indonesian ^np+++??+=Indonesian,
, ^zz++++=EXTRAWORD
Spanish ^jj++++=Spanish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Portuguese ^nn+nom+++=Portuguese
being ^vwbg+beg++xvbg+=being
the ^ati++++=the
most ^ql+emph+++=most
prevalent ^jj++++=prevalent.
. ^zz++++=EXTRAWORD
The ^ati++++=The
disciplinary ^nn+nom+++=disciplinary
distribution ^nn+nom+++=distribution
includes ^vb++++=includes
the ^ati++++=the
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
( ^zz++++=(45.9%),
45.9% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Stem ^nn++++=STEM
fields ^nns++++=fields
( ^zz++++=(40.3%),
40.3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
humanities ^nns+nom+++=humanities
( ^zz++++=(13.8%).
13.8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
their ^pp$+pp3+++=their
geographic ^nn++++=geographic,
, ^zz++++=EXTRAWORD
linguistic ^jj++++=linguistic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disciplinary ^nn+nom+++=disciplinary
diversity ^nn+nom+++=diversity,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
1.2 ^cd++++=1.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+dem+++=these
journals ^nns+nom+++=journals
are ^vb+ber+aux++=are
indexed ^vpsv++agls+xvbnx+=indexed
in ^in++++=in
Web ^nn++++=Web
of ^in++++=of
Science ^nn+nom+++=Science
and ^cc++++=and
5.7 ^cd++++=5.7%
% ^zz++++=EXTRAWORD
in ^in++++=in
Scopus ^np+++??+=Scopus,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
1.0 ^cd++++=1.0%
% ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
listed ^vpsv++agls+xvbnx+=listed
in ^in++++=in
Cabells ^np+++??+=Cabells
Predatory ^jj+atrb+++=Predatory
Reports ^nns++++=Reports
and ^cc++++=and
1.4 ^cd++++=1.4%
% ^zz++++=EXTRAWORD
appear ^vb+seem+++=appear
on ^in++++=on
Beall ^np+++??+=Beall
s ^zz++++=s
list ^nn++++=list
of ^in++++=of
questionable ^jj+atrb+++=questionable
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
document ^nn+nom+++=document
and ^cc++++=and
contextualize ^vb++++=contextualize
the ^ati++++=the
expanded ^jj+atrb++xvbn+=expanded
scale ^nn++++=scale
and ^cc++++=and
diversity ^nn+nom+++=diversity
of ^in++++=of
scholarly ^jj+atrb+++=scholarly
publishing ^nvbg+++xvbg+=publishing,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
informing ^xvbg+++xvbg+=informing
a ^at++++=a
more ^rbr++++=more
comprehensive ^jj+atrb+++=comprehensive
understanding ^nn++++=understanding
of ^in++++=of
the ^ati++++=the
global ^jj+atrb+++=global
research ^nn++++=research
landscape ^nn++++=landscape.
. ^zz++++=EXTRAWORD
