Legacy ^nn++++=Legacy
materials ^nns+nom+++=materials
can ^md+pos+++=can
be ^vb+be+aux++=be
utilized ^vpsv++agls+xvbnx+=utilized
on ^in++++=on
an ^at++++=an
ongoing ^jj+atrb++xvbg+=ongoing
basis ^nn++++=basis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
use ^nn++++=use
necessitates ^nns+nom+++=necessitates
interpretation ^nn+nom+++=interpretation
a ^at++++=a
process ^nns+nom+++=process
that ^tht+rel+subj++=that
involves ^vbz++++=involves
understanding ^nvbg+++xvbg+=understanding
the ^ati++++=the
original ^jj+atrb+++=original
intentions ^nns+nom+++=intentions
of ^in++++=of
the ^ati++++=the
creators ^nns++++=creators,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
new ^jj+atrb+++=new
meanings ^nns++++=meanings
in ^in++++=in
contemporary ^jj+atrb+++=contemporary
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
recognizing ^vbg+++xvbg+=recognizing
the ^ati++++=the
roles ^nns++++=roles
that ^tht+rel+++=that
current ^jj+atrb+++=current
users ^nns++++=users
may ^md+pos+++=may
play ^vb++++=play
in ^in++++=in
the ^ati++++=the
materials ^nns+nom+++=materials
circulation ^nn+nom+++=circulation
and ^cc++++=and
reception ^nn+nom+++=reception
( ^zz++++=(Dobrin
dobrin ^nn+++??+=EXTRAWORD
and ^cc++++=and
Schwartz ^np+++??+=Schwartz,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
23 ^cd++++=23).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
notable ^jj+atrb+++=notable
example ^nn++++=example
of ^in++++=of
sustained ^jj+atrb++xvbn+=sustained
engagement ^nn+nom+++=engagement
with ^in++++=with
legacy ^nn++++=legacy
materials ^nns+nom+++=materials
is ^vbz+bez+vrb++=is
the ^ati++++=the
biennial ^jj+atrb+++=biennial
Breath ^nn++++=Breath
of ^in++++=of
Life ^nn++++=Life
Archival ^np+nom++??+=Archival
Institute ^nn++++=Institute
for ^in++++=for
Indigenous ^jj+atrb+++=Indigenous
California ^np++++=California
Languages ^nns+nom+++=Languages
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Gehr ^np+++??+=Gehr,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
at ^rb++++=at
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
California ^np++++=California,
, ^zz++++=EXTRAWORD
Berkeley ^np++++=Berkeley.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
event ^nn++++=event
is ^vbz+bez+aux++=is
organized ^vpsv++by+xvbnx+=organized
by ^in++++=by
the ^ati++++=the
Advocates ^nns+nom+++=Advocates
for ^in++++=for
Indigenous ^jj+atrb+++=Indigenous
California ^np++++=California
Language ^nn+nom+++=Language
Survival ^nn+nom+++=Survival
( ^zz++++=(AICLS)
aicls ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
collaboration ^nn+nom+++=collaboration
with ^in++++=with
the ^ati++++=the
Survey ^nn++++=Survey
of ^in++++=of
California ^np++++=California
and ^cc++++=and
Other ^ap++++=Other
Indian ^jj+atrb+++=Indian
Languages ^nns+nom+++=Languages,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
manages ^nns+nom+++=manages
the ^ati++++=the
California ^np++++=California
Language ^nn+nom+++=Language
Archive ^np+++??+=Archive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Institute ^nn++++=Institute
facilitates ^nns+nom+++=facilitates
collaboration ^nn+nom+++=collaboration
between ^in++++=between
