Feenberg ^np+++??+=Feenberg
( ^zz++++=(2003)
2003 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
a ^at++++=a
substantive ^jj+atrb+++=substantive
conception ^nn+nom+++=conception
of ^in++++=of
technology ^nn++++=technology
persists ^nns+nom+++=persists,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
recognizing ^vbg+++xvbg+=recognizing
technology ^nn++++=technology
as ^in++++=as
a ^at++++=a
determinant ^nn+nom+++=determinant
of ^in++++=of
social ^jj+atrb+++=social
directions ^nns+nom+++=directions,
, ^zz++++=EXTRAWORD
maintains ^vbz+vpub+++=maintains
that ^tht+vcmp+++=that
technology ^nn++++=technology
possesses ^nns+nom+++=possesses
intrinsic ^jj+atrb+++=intrinsic
values ^nns++++=values
and ^cc++++=and
that ^tht+vcmp+++=that
its ^pp$+it+++=its
purposes ^nns++++=purposes
are ^vb+ber+vrb++=are
not ^xnot++not++=not
subject ^nn++++=subject
to ^in++++=to
modification ^nn+nom+++=modification
by ^in++++=by
human ^jj+atrb+++=human
agency ^nn++++=agency.
. ^zz++++=EXTRAWORD
