All ^abn++++=All
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
Paresi ^np+++??+=Paresi
project ^nn++++=project
are ^vb+ber+aux++=are
stored ^vpsv++agls+xvbnx+=stored
in ^in++++=in
the ^ati++++=the
archive ^nn++++=archive
of ^in++++=of
the ^ati++++=the
Museu ^np+++??+=Museu
Paraense ^np+++??+=Paraense
Em ^np+++??+=Em
lio ^&fo++++=lio
Goeldi ^np+++??+=Goeldi
and ^cc++++=and
are ^vb+ber+vrb++=are
not ^xnot++not++=not
yet ^rb++++=yet
publicly ^rb++++=publicly
accessible ^jj++++=accessible.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty
hours ^nns++++=hours
of ^in++++=of
material ^nn++++=material
collected ^vwbn+++xvbn+=collected
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
financial ^jj+atrb+++=financial
support ^nn++++=support
from ^in++++=from
the ^ati++++=the
Endangered ^np+++??+=Endangered
Languages ^nns+nom+++=Languages
Documentation ^np+nom++??+=Documentation
Programme ^nn++++=Programme
( ^zz++++=(ELDP,
eldp ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
2012 ^cd++++=2012)
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
also ^rb++splt++=also
archived ^vpsv++agls+xvbnx+=archived
at ^rb++++=at
the ^ati++++=the
Endangered ^np+++??+=Endangered
Language ^nn+nom+++=Language
Archive ^np+++??+=Archive
( ^zz++++=(ELAR)
elar ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
associated ^vbd+++xvbn+=associated
with ^in++++=with
this ^dt+dem+++=this
institution ^nn+nom+++=institution.
. ^zz++++=EXTRAWORD
An ^at++++=An
additional ^jj++++=additional
thirty ^cd++++=thirty
hours ^nns++++=hours
of ^in++++=of
material ^nn++++=material
are ^vb+ber+aux++=are
stored ^vpsv++agls+xvbnx+=stored
at ^rb++++=at
the ^ati++++=the
Archive ^np+++??+=Archive
of ^in++++=of
the ^ati++++=the
Indigenous ^jj+atrb+++=Indigenous
Languages ^nns+nom+++=Languages
of ^in++++=of
the ^ati++++=the
Americas ^nps++++=Americas
( ^zz++++=(AILLA)
ailla ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
Texas ^np++++=Texas
at ^in++++=at
Austin ^np++++=Austin,
, ^zz++++=EXTRAWORD
with ^in++++=with
some ^dti++++=some
materials ^nns+nom+++=materials
available ^jj+atrb+++=available
online ^nn+++??+=online.
. ^zz++++=EXTRAWORD
Portions ^nns+nom+++=Portions
of ^in++++=of
the ^ati++++=the
material ^nn++++=material
collected ^vwbn+++xvbn+=collected
in ^in++++=in
the ^ati++++=the
Enawene ^np+++??+=Enawene
Nawe ^np+++??+=Nawe
project ^nn++++=project
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
organized ^vpsv++agls+xvbnx+=organized
in ^in++++=in
Elar ^np+++??+=ELAR
and ^cc++++=and
will ^md+prd+++=will
also ^rb++++=also
be ^vb+be+aux++=be
made ^vprf+++xvbn+=made
available ^jj++++=available
in ^in++++=in
the ^ati++++=the
goeldi ^np++++=Goeldi
archive ^nn++++=archive.
. ^zz++++=EXTRAWORD
