Students ^nns++++=Students
typically ^rb++++=typically
spend ^vb++++=spend
the ^ati++++=the
time ^nn++++=time
before ^cs+sub+++=before
class ^nn++++=class
begins ^vbz++++=begins
stretching ^nvbg+++xvbg+=stretching
individually ^rb+cnj+++=individually,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
some ^dti++++=some
engage ^vb++++=engage
in ^in++++=in
conversation ^nn+nom+++=conversation,
, ^zz++++=EXTRAWORD
often ^rb++++=often
discussing ^jj+atrb++xvbg+=discussing
recent ^jj+atrb+++=recent
events ^nns++++=events
since ^in++++=since
their ^pp$+pp3+++=their
last ^rb++++=last
meeting ^nvbg+++xvbg+=meeting.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
conversations ^nns+nom+++=conversations
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
English ^nn++++=English;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
students ^nns++++=students
who ^whp+rel+subj++=who
grew ^vbd+++xvbn+=grew
up ^rp++++=up
speaking ^vbg+++xvbg+=speaking
Portuguese ^nn+nom+++=Portuguese
tend ^vb++++=tend
to ^to+vcmp+++=to
use ^vbi++++=use
Portuguese ^nn+nom+++=Portuguese
when ^wrb+who+++=when
communicating ^jj++++=communicating
among ^in++++=among
themselves ^ppls+pp3+++=themselves
and ^cc++++=and
with ^in++++=with
peers ^nns++++=peers
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
fluent ^jj+pred+++=fluent
in ^in++++=in
the ^ati++++=the
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Tiago ^np+++??+=Tiago
communicates ^nns+nom+++=communicates
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese
with ^in++++=with
Mariana ^np+++??+=Mariana
and ^cc++++=and
Sandro ^np+++??+=Sandro,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
Brazilian ^jj+pred+++=Brazilian,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
with ^in++++=with
Sophie ^np++++=Sophie
and ^cc++++=and
Carolina ^np+++??+=Carolina,
 ^zz++++=EXTRAWORD
Both ^abx++++=both
Of ^in++++=of
Whom ^whp+rel+pied++=whom
Are ^vb+ber+vrb++=are
Fluent ^jj+pred+++=fluent
In ^in++++=in
Portuguese ^nn+nom+++=Portuguese.
 ^zz++++=EXTRAWORD
