Twenty ^cd++++=Twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
taxa ^nn+++??+=taxa
of ^in++++=of
smooth ^jj+atrb+++=smooth
cell ^nn++++=cell-walled
- ^zz++++=EXTRAWORD
walled ^jj+atrb+++=EXTRAWORD
Cosmarium ^np+++??+=Cosmarium
Corda ^np++++=Corda
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
21 ^cd++++=21
are ^vb+ber+aux++=are
reported ^vpsv++agls+xvbnx+=reported
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo
State ^nn++++=State
and ^cc++++=and
one ^cd1++++=one
is ^vbz+bez+aux++=is
recorded ^vpsv++agls+xvbnx+=recorded
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
The ^ati++++=The
list ^nn++++=list
of ^in++++=of
taxa ^nn+++??+=taxa
and ^cc++++=and
their ^pp$+pp3+++=their
occurrence ^nn+nom+++=occurrence
frequencies ^nns++++=frequencies
are ^vb+ber+aux++=are
presented ^vbd+++xvbn+=presented
in ^in++++=in
table ^nn++++=Table
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
