Previous ^jj+atrb+++=Previous
research ^nn++++=research
on ^in++++=on
journals ^nns+nom+++=journals
using ^vwbg+++xvbg+=using
Open ^jj+atrb+++=Open
Journal ^nn++++=Journal
Systems ^nns++++=Systems
( ^zz++++=(JUOJS)
juojs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
identified ^vbd+++xvbn+=identified
9,828 ^cd++++=9,828
such ^abl++++=such
journals ^nns+nom+++=journals
in ^in++++=in
2015 ^cd++++=2015
( ^zz++++=(Alperin,
alperin ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Stranack ^np+++??+=Stranack,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Garnett ^np++++=Garnett,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
survey ^nn++++=survey
of ^in++++=of
2,114 ^cd++++=2,114
Juojs ^np+++??+=JUOJS
staff ^nn++++=staff
members ^nns+nom+++=members
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
97.8 ^cd++++=97.8%
% ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+dem+++=these
journals ^nns+nom+++=journals
were ^vbd+bed+vrb++=were
open ^jj+atrb+++=open
access ^nn++++=access
( ^zz++++=(OA),
oa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
13.6 ^cd++++=13.6%
% ^zz++++=EXTRAWORD
employing ^vbg+++xvbg+=employing
Article ^nn++++=Article
Processing ^vwbg+++xvbg+=Processing
Charges ^nns++++=Charges
( ^zz++++=(APCs)
apcs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
support ^vbi++++=support
Oa ^np+++??+=OA
( ^zz++++=(Alperin,
alperin ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Stranack ^np+++??+=Stranack,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Hanson ^np++++=Hanson,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
also ^rb++++=also
Edgar ^np++++=Edgar
& ^zz++++=&
Willinsky ^np+++??+=Willinsky,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
imply ^vb+vprv+++=imply
that ^tht+vcmp+++=that
84.2 ^cd++++=84.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
Juojs ^np+++??+=JUOJS
operate ^nn+nom+++=operate
as ^ql++++=as
Oa ^np+++??+=OA
diamond ^nn++++=diamond
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
meaning ^nvbg+++xvbg+=meaning
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
charge ^vb+vpub+++=charge
either ^dtx++++=either
authors ^nns++++=authors
or ^cc++++=or
readers ^nns+nom+++=readers.
. ^zz++++=EXTRAWORD
In ^in++++=In
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
a ^at++++=a
more ^rbr++++=more
recent ^jj++++=recent
study ^vb++++=study
estimated ^vbd+vprv++xvbn+=estimated
that ^tht+vcmp+++=that
Juojs ^np+++??+=JUOJS
constitute ^vb++++=constitute
60 ^cd++++=60%
% ^zz++++=EXTRAWORD
of ^in++++=of
Oa ^np+++??+=OA
diamond ^nn++++=diamond
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
within ^in++++=within
a ^at++++=a
total ^nn++++=total
of ^in++++=of
at ^rb++++=at
least ^rb"++++=least
17,000 ^cd++++=17,000
and ^cc++++=and
possibly ^rb++++=possibly
up ^rp++++=up
to ^to++++=to
29,000 ^cd++++=29,000
Oa ^np+++??+=OA
diamond ^nn++++=diamond
journals ^nns+nom+++=journals
( ^zz++++=(Bosman
bosman ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
93 ^cd++++=93).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
indexing ^xvbg+++xvbg+=indexing,
, ^zz++++=EXTRAWORD
Bosman ^np+++??+=Bosman
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
observed ^vbn+vprv++xvbn+=observed
that ^tht+vcmp+++=that
despite ^in++++=despite
their ^pp$+pp3+++=their
integration ^nn+nom+++=integration
into ^in++++=into
academic ^jj+atrb+++=academic
structures ^nns++++=structures,
, ^zz++++=EXTRAWORD
Oa ^np+++??+=OA
diamond ^nn++++=diamond
journals ^nns+nom+++=journals
face ^nn++++=face
challenges ^vbz++++=challenges
in ^in++++=in
achieving ^xvbg+++xvbg+=achieving
proper ^jj+atrb+++=proper
inclusion ^nn++++=inclusion
within ^in++++=within
the ^ati++++=the
broader ^jjr++++=broader
scholarly ^jj++++=scholarly
publishing ^vbg+++xvbg+=publishing
ecosystem ^nn++++=ecosystem
( ^zz++++=(p.
p ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
84 ^cd++++=84).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
