A ^at++++=A
total ^nn++++=total
of ^in++++=of
70 ^cd++++=70
publications ^nns+nom+++=publications
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected
from ^in++++=from
796 ^cd++++=796
records ^nns++++=records
retrieved ^vbd+++xvbn+=retrieved
from ^in++++=from
the ^ati++++=the
databases ^nns+++??+=databases.
. ^zz++++=EXTRAWORD
The ^ati++++=The
included ^jj+atrb++xvbn+=included
studies ^nns++++=studies
primarily ^rb+down+++=primarily
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
non ^&fw++++=non-systematic
- ^zz++++=EXTRAWORD
systematic ^jj+atrb+++=EXTRAWORD
reviews ^nns++++=reviews
and ^cc++++=and
case ^nn++++=case
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
six ^cd++++=six
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
identified ^vwbn+++xvbn+=identified.
. ^zz++++=EXTRAWORD
Narrative ^nn++++=Narrative
synthesis ^nn++++=synthesis
revealed ^vbd+vprv++xvbn+=revealed
twenty ^cd++++=twenty
distinct ^jj+atrb+++=distinct
therapies ^nns+++??+=therapies,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
reported ^vbn+vpub++xvbn+=reported
interventions ^nns+nom+++=interventions
being ^xvbg+++xvbg+=being
wound ^xvbn+++xvbn+=wound
dressings ^nns++++=dressings
( ^zz++++=(58.6%),
58.6% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
analgesic ^jj+atrb+++=analgesic
drugs ^nns++++=drugs
( ^zz++++=(55.7%),
55.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
topical ^jj+atrb+++=topical
antimicrobials ^nns+nom+++=antimicrobials
( ^zz++++=(25.7%),
25.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
skin ^nn++++=skin
barriers ^nns+nom+++=barriers
( ^zz++++=(15.7%),
15.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
cryotherapy ^nn+++??+=cryotherapy
( ^zz++++=(5.7%),
5.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
negative ^jj+atrb+++=negative
pressure ^nn++++=pressure
wound ^vbd+++xvbn+=wound
therapy ^nn++++=therapy
( ^zz++++=(4.3%).
4.3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
therapies ^nns+++??+=therapies
were ^vbd+bed+aux++=were
recommended ^vpsv++agls+xvbnx+=recommended
for ^in++++=for
application ^nn+nom+++=application
either ^dtx++++=either
to ^in++++=to
the ^ati++++=the
wound ^nn+++xvbn+=wound
bed ^nn++++=bed
or ^cc++++=or
the ^ati++++=the
periwound ^nn+++??+=periwound
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
68.5 ^cd++++=68.5%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
studies ^nns++++=studies
did ^vbd+dod+aux++=did
not ^xnot++not++=not
describe ^vb++++=describe
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
a ^at++++=a
standardized ^jj+atrb+++=standardized
pain ^nn++++=pain
assessment ^nn+nom+++=assessment.
. ^zz++++=EXTRAWORD
