Analyzing ^np+++??+=Analyzing
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
research ^nn++++=research
system ^nn++++=system
at ^in++++=at
a ^at++++=a
highly ^rb+amp+++=highly
aggregated ^vbd+++xvbn+=aggregated
level ^nn++++=level
obscures ^nns+++??+=obscures
the ^ati++++=the
complexity ^nn+nom+++=complexity
of ^in++++=of
interactions ^nns+nom+++=interactions
within ^in++++=within
its ^pp$+it+++=its
boundaries ^nns++++=boundaries.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
5 ^zz++++=5
presents ^nns++++=presents
data ^nns++++=data
on ^in++++=on
co ^nn++++=co-authorship
- ^zz++++=EXTRAWORD
authorship ^nn+nom+++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
distinct ^jj+atrb+++=distinct
authors ^nns++++=authors
states ^nns++++=states,
, ^zz++++=EXTRAWORD
categorized ^xvbn+++xvbn+=categorized
by ^in++++=by
the ^ati++++=the
disciplinary ^nn+nom+++=disciplinary
area ^nn++++=area
of ^in++++=of
the ^ati++++=the
journals ^nns+nom+++=journals
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
Scielo ^np+++??+=SciELO
classification ^nn+nom+++=classification.
. ^zz++++=EXTRAWORD
Journals ^nns+nom+++=Journals
in ^in++++=in
disciplinary ^nn+nom+++=disciplinary
areas ^nns++++=areas
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
a ^at++++=a
higher ^jjr+atrb+++=higher
average ^jj+atrb+++=average
number ^nn++++=number
of ^in++++=of
authors ^nns++++=authors
per ^in++++=per
article ^nn++++=article,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Agricultural ^jj+atrb+++=Agricultural
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
Exact ^jj+atrb+++=Exact
and ^cc+phrs+++=and
Natural ^jj+atrb+++=Natural
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
Biological ^jj+atrb+++=Biological
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Multidisciplinary ^np+nom++??+=Multidisciplinary
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
exhibit ^vb++++=exhibit
a ^at++++=a
higher ^jjr+atrb+++=higher
degree ^nn++++=degree
of ^in++++=of
inter ^rb++++=inter-state
- ^zz++++=EXTRAWORD
state ^nn++++=EXTRAWORD
collaboration ^nn+nom+++=collaboration.
. ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
articles ^nns++++=articles
with ^in++++=with
authors ^nns++++=authors
from ^in++++=from
three ^cd++++=three
or ^cc++++=or
more ^ql++++=more
states ^np++++=states
exceeds ^vbz++++=exceeds
10 ^cd++++=10%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
co ^nn++++=co-authorship
- ^zz++++=EXTRAWORD
authorship ^nn+nom+++=EXTRAWORD
is ^vbz+bez+vrb++=is
lower ^jjr+pred+++=lower
in ^in++++=in
the ^ati++++=the
three ^cd++++=three
areas ^nns++++=areas
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
Social ^jj+atrb+++=Social
Sciences ^nns+nom+++=Sciences
and ^cc++++=and
Humanities ^nns+nom+++=Humanities,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
documents ^nns+nom+++=documents
involving ^vwbg+++xvbg+=involving
co ^nn++++=co-authorship
- ^zz++++=EXTRAWORD
authorship ^nn+nom+++=EXTRAWORD
between ^in++++=between
two ^cd++++=two
or ^cc++++=or
more ^rbr++++=more
Brazilian ^jj++++=Brazilian
states ^vbz+vpub+++=states
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
fall ^nn++++=fall
below ^rb++++=below
29 ^cd++++=29%
% ^zz++++=EXTRAWORD
in ^in++++=in
any ^dti++++=any
case ^nn++++=case.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
a ^at++++=a
substantial ^jj+atrb+++=substantial
share ^nn++++=share
of ^in++++=of
collaborative ^jj+atrb+++=collaborative
activity ^nn+nom+++=activity
among ^in++++=among
authors ^nns++++=authors
now ^rn+tm+++=now
occurs ^vbz++++=occurs
across ^in+pl+++=across
state ^nn++++=state
boundaries ^nns++++=boundaries
rather ^rb++++=rather
than ^in++++=than
solely ^rb++++=solely
between ^in++++=between
institutions ^nns+nom+++=institutions.
. ^zz++++=EXTRAWORD
