Although ^cs+con+++=Although
Luria ^np++++=Luria's
's ^$++++=EXTRAWORD
theory ^nn++++=theory
has ^vbz+hvz+aux++=has
demonstrated ^vprf+++xvbnx+=demonstrated
considerable ^jj+atrb+++=considerable
utility ^nn+nom+++=utility
in ^in++++=in
the ^ati++++=the
medical ^jj+atrb+++=medical
and ^cc+phrs+++=and
psychological ^jj+atrb+++=psychological
sciences ^nns+nom+++=sciences
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
in ^in++++=in
special ^jj+atrb+++=special
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
the ^ati++++=the
authors ^nns++++=authors
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article
highlight ^nn++++=highlight
its ^pp$+it+++=its
potential ^jj+atrb+++=potential
application ^nn+nom+++=application
within ^in++++=within
preschool ^nn+++??+=preschool
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
for ^in++++=for
assessing ^xvbg+++xvbg+=assessing
the ^ati++++=the
comprehensive ^jj+atrb+++=comprehensive
development ^nn+nom+++=development
of ^in++++=of
preschool ^nn+++??+=preschool
children ^nns++++=children.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
preschool ^nn+++??+=preschool
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
luria ^np++++=Luria's
's ^$++++=EXTRAWORD
theory ^nn++++=theory
may ^md+pos+++=may
be ^vb+be+vrb++=be
significant ^jj+pred+++=significant
because ^cs+cos+++=because:
: ^zz++++=EXTRAWORD
