Capoeira ^np+++??+=Capoeira
songs ^nns++++=songs
constitute ^vb++++=constitute
a ^at++++=a
significant ^jj+atrb+++=significant
domain ^nn++++=domain
for ^in++++=for
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
Portuguese ^jj+atrb+++=Portuguese
language ^nn+nom+++=language
within ^in++++=within
the ^ati++++=the
practice ^nn++++=practice
of ^in++++=of
capoeira ^nn+++??+=capoeira.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
these ^dt+dem+++=these
songs ^nns++++=songs
are ^vb+ber+vrb++=are
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Sandro ^np+++??+=Sandro
highlights ^nns++++=highlights,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
small ^jj+atrb+++=small
but ^cc+phrs+++=but
noteworthy ^jj+atrb+++=noteworthy
proportion ^nn+nom+++=proportion
are ^vb+ber+vrb++=are
either ^dtx++++=either
in ^in++++=in
other ^ap++++=other
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Yoruba ^np+++??+=Yoruba,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
incorporate ^nn+nom+++=incorporate
lexical ^jj+atrb+++=lexical
elements ^nns+nom+++=elements
from ^in++++=from
various ^jj+atrb+++=various
languages ^nns+nom+++=languages.
. ^zz++++=EXTRAWORD
Students ^nns++++=Students
are ^vb+ber+aux++=are
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
sing ^vbi++++=sing
these ^dt+dem+++=these
songs ^nns++++=songs
during ^in++++=during
class ^nn++++=class,
, ^zz++++=EXTRAWORD
necessitating ^jj+++xvbg+=necessitating
their ^pp$+pp3+++=their
memorization ^nn+nom+++=memorization
and ^cc++++=and
active ^jj+atrb+++=active
reproduction ^nn+nom+++=reproduction.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
songs ^nns++++=songs
contain ^vb++++=contain
numerous ^jj+atrb+++=numerous
references ^nns+nom+++=references
to ^in++++=to
the ^ati++++=the
history ^nn++++=history
and ^cc++++=and
culture ^nn++++=culture
of ^in++++=of
both ^abx++++=both
capoeira ^nn+++??+=capoeira
and ^cc++++=and
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
as ^ql++++=as
previously ^rb+tm+++=previously
discussed ^vpsv++agls+xvbn+=discussed,
, ^zz++++=EXTRAWORD
sandro ^np++++=Sandro
typically ^rb++++=typically
explains ^vbz+vpub+++=explains
in ^in++++=in
english ^nn++++=English.
. ^zz++++=EXTRAWORD
