No ^at++++=No
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
in ^in++++=in
manual ^jj+atrb+++=manual
laterality ^nn+nom+++=laterality
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
provinces ^nns++++=provinces.
. ^zz++++=EXTRAWORD
Effect ^nn++++=Effect
sizes ^nns++++=sizes
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated
using ^vbg+++xvbg+=using
Cohen ^np++++=Cohen's
s ^$++++=EXTRAWORD
D ^zz++++=d
And ^cc++++=and
Are ^vb+ber+aux++=are
Presented ^vbd+++xvbn+=presented
In ^in++++=in
Table ^nn++++=Table
 ^zz++++=2.
 ^zz++++=EXTRAWORD
