Originally ^rb+tm+++=Originally
described ^vpsv++by+xvbn+=described
by ^in++++=by
Ralfs ^np+++??+=Ralfs
in ^in++++=in
1848 ^cd+date+++=1848,
, ^zz++++=EXTRAWORD
the ^ati++++=the
genus ^nns+++??+=genus
Cosmarium ^np+++??+=Cosmarium
Corda ^np++++=Corda
comprises ^vbz++++=comprises
over ^in++++=over
1,500 ^cd++++=1,500
taxa ^nn+++??+=taxa
and ^cc++++=and
represents ^vbz++++=represents
the ^ati++++=the
most ^ql+emph+++=most
speciose ^vb+++??+=speciose
and ^cc++++=and
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
oldest ^jjt+atrb+++=oldest
genera ^nns++++=genera
within ^in++++=within
the ^ati++++=the
family ^nn++++=family
Desmidiaceae ^np+++??+=Desmidiaceae.
. ^zz++++=EXTRAWORD
Members ^nns+nom+++=Members
of ^in++++=of
this ^dt+pdem+++=this
genus ^vbz+++??+=genus
are ^vb+ber+vrb++=are
typically ^rb++++=typically
free ^jj+pred+++=free-living
- ^zz++++=EXTRAWORD
living ^jj+atrb++xvbg+=EXTRAWORD
unicellular ^nn+++??+=unicellular
organisms ^nns+nom+++=organisms
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
a ^at++++=a
median ^jjb+atrb+++=median
constriction ^nn+nom+++=constriction,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
ranges ^nns++++=ranges
from ^in++++=from
a ^at++++=a
deep ^jj+atrb+++=deep,
, ^zz++++=EXTRAWORD
closed ^jj+atrb++xvbn+=closed
depression ^nn++++=depression
to ^in++++=to
a ^at++++=a
widely ^rb++++=widely
open ^jj+atrb+++=open
and ^cc+phrs+++=and
shallow ^jj+atrb+++=shallow
groove ^nn++++=groove,
, ^zz++++=EXTRAWORD
dividing ^jj+++xvbg+=dividing
the ^ati++++=the
cell ^nn++++=cell
into ^in++++=into
two ^cd++++=two
symmetrical ^jj+atrb+++=symmetrical
semicells ^nns+++??+=semicells;
; ^zz++++=EXTRAWORD
the ^ati++++=the
shape ^nn++++=shape
and ^cc++++=and
size ^nn++++=size
of ^in++++=of
these ^dt+dem+++=these
semicells ^nns+++??+=semicells
vary ^vb++++=vary
among ^in++++=among
species ^nn++++=species
( ^zz++++=(Bicudo
bicudo ^nn+++??+=EXTRAWORD
& ^zz++++=&
Menezes ^np+++??+=Menezes
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
taxonomy ^nn+++??+=taxonomy
of ^in++++=of
Cosmarium ^np+++??+=Cosmarium
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
cell ^nn++++=cell
outline ^nn++++=outline
and ^cc++++=and
cell ^nn++++=cell
wall ^nn++++=wall
ornamentation ^nn+nom+++=ornamentation.
. ^zz++++=EXTRAWORD
For ^in++++=For
practical ^jj+atrb+++=practical
classification ^nn+nom+++=classification,
, ^zz++++=EXTRAWORD
taxonomists ^nns+nom+++=taxonomists
often ^rb++++=often
divide ^vb++++=divide
the ^ati++++=the
genus ^nns+++??+=genus
into ^in++++=into
two ^cd++++=two
artificial ^jj+atrb+++=artificial
groups ^nns++++=groups:
: ^zz++++=EXTRAWORD
one ^pn++++=one
with ^in++++=with
ornamented ^xvbn+++xvbn+=ornamented
cell ^nn++++=cell
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
exhibiting ^nvbg+++xvbg+=exhibiting
features ^nns++++=features
such ^abl++++=such
as ^ql++++=as
granules ^nns+++??+=granules,
, ^zz++++=EXTRAWORD
scrobiculations ^nns+nom+++=scrobiculations,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
spines ^nns++++=spines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
with ^in++++=with
smooth ^jj++++=smooth
or ^cc++++=or
finely ^rb++++=finely
punctate ^nn+nom+++=punctate
cell ^nn++++=cell
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
