While ^cs+sub+++=While
labour ^nn++++=labour
migration ^nn+nom+++=migration
to ^in++++=to
England ^np++++=England
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
significant ^jj+atrb+++=significant
and ^cc+phrs+++=and
established ^jj+atrb++xvbn+=established
trend ^nn++++=trend
since ^in++++=since
the ^ati++++=the
mid ^jjb++++=mid-twentieth
- ^zz++++=EXTRAWORD
twentieth ^od++++=EXTRAWORD
century ^nn++++=century,
, ^zz++++=EXTRAWORD
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
migration ^nn+nom+++=migration
to ^in++++=to
Northern ^np++++=Northern
Ireland ^np++++=Ireland
is ^vbz+bez+vrb++=is
a ^at++++=a
comparatively ^rb++++=comparatively
recent ^jj+atrb+++=recent
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
Northern ^jj+atrb+++=Northern
Ireland ^np++++=Ireland
began ^vbd+++xvbn+=began
to ^to++++=to
experience ^nn+nom+++=experience
a ^at++++=a
marked ^jj+atrb++xvbn+=marked
increase ^nn++++=increase
in ^in++++=in
inward ^jjb+atrb+++=inward
migration ^nn+nom+++=migration
at ^in++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
twenty ^cd++++=twenty-first
- ^zz++++=EXTRAWORD
first ^rb++++=EXTRAWORD
century ^nn++++=century.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Doyle ^np+++??+=Doyle
and ^cc++++=and
Mcareavey ^np+++??+=McAreavey
( ^zz++++=(2016,
2016 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
52 ^cd++++=52),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
2001 ^cd++++=2001
and ^cc++++=and
2011 ^cd++++=2011
Censuses ^np+++??+=Censuses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
non ^&fw++++=non-UK/Ireland
- ^zz++++=EXTRAWORD
uk ^np++++=EXTRAWORD
migrants ^nns+nom+++=migrants
in ^in++++=in
Northern ^np++++=Northern
Ireland ^np++++=Ireland
tripled ^vbd+++xvbn+=tripled,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
from ^in++++=from
1.6 ^cd++++=1.6%
% ^zz++++=EXTRAWORD
to ^to++++=to
4.5 ^cd++++=4.5%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
local ^jj+atrb+++=local
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
primary ^jj+atrb+++=primary
political ^jj+atrb+++=political
developments ^nns+nom+++=developments
contributed ^vbd+++xvbn+=contributed
to ^in++++=to
this ^dt+dem+++=this
increase ^nn++++=increase:
: ^zz++++=EXTRAWORD
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
the ^ati++++=the
culmination ^nn+nom+++=culmination
of ^in++++=of
the ^ati++++=the
Peace ^nn++++=Peace
Process ^nns+nom+++=Process
in ^in++++=in
