Nearly ^rb+down+++=Nearly
two ^cd++++=two
decades ^nns++++=decades
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
since ^rb++++=since
the ^ati++++=the
integration ^nn+nom+++=integration
of ^in++++=of
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technology ^nn++++=technology
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
into ^in++++=into
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
this ^dt+dem+++=this
period ^nn++++=period,
, ^zz++++=EXTRAWORD
the ^ati++++=the
exchange ^nn++++=exchange
of ^in++++=of
experiences ^nns+nom+++=experiences
among ^in++++=among
teachers ^nns+nom+++=teachers,
, ^zz++++=EXTRAWORD
researchers ^nns+nom+++=researchers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
institutions ^nns+nom+++=institutions
facilitated ^vwbn+++xvbn+=facilitated
by ^in++++=by
Ict ^np+++??+=ICT
has ^vbz+hvz+aux++=has
contributed ^vprf+++xvbnx+=contributed
to ^in++++=to
the ^ati++++=the
reorganization ^nn+nom+++=reorganization
and ^cc++++=and
enhancement ^nn+nom+++=enhancement
of ^in++++=of
educational ^jj+atrb+++=educational
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
Recent ^jj+atrb+++=Recent
studies ^nns++++=studies
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
highlight ^nn++++=highlight
the ^ati++++=the
expanded ^jj+atrb++xvbn+=expanded
opportunities ^nns+nom+++=opportunities
introduced ^vwbn+++xvbn+=introduced
by ^in++++=by
the ^ati++++=the
digital ^jj+atrb+++=digital
era ^nn++++=era.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
language ^nn+nom+++=language
teaching ^vwbg+++xvbg+=teaching
and ^cc++++=and
learning ^vwbg+++xvbg+=learning,
, ^zz++++=EXTRAWORD
Ict ^np+++??+=ICT
has ^vbz+hvz+aux++=has
played ^vprf+++xvbnx+=played
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
in ^in++++=in
modernizing ^xvbg+++xvbg+=modernizing
traditional ^jj+atrb+++=traditional
pedagogical ^jj+atrb+++=pedagogical
approaches ^nns++++=approaches
and ^cc++++=and
practices ^nns++++=practices
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Eckhaus ^np+++??+=Eckhaus,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018)
) ^zz++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
supporting ^xvbg+++xvbg+=supporting
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
new ^jj+atrb+++=new
instructional ^jj+atrb+++=instructional
tools ^nns++++=tools
and ^cc++++=and
materials ^nns+nom+++=materials
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Sahraini ^np+++??+=Sahraini
& ^zz++++=&
Syamsudarni ^np+++??+=Syamsudarni,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
field ^nn++++=field
of ^in++++=of
English ^nn++++=English
for ^in++++=for
Specific ^jj+atrb+++=Specific
Purposes ^nns++++=Purposes
( ^zz++++=(ESP)
esp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
benefited ^vprf+++xvbnx+=benefited
from ^in++++=from
Ict ^np+++??+=ICT,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
in ^in++++=in
two ^cd++++=two
ways ^nns++++=ways:
: ^zz++++=EXTRAWORD
by ^in++++=by
transforming ^xvbg+++xvbg+=transforming
conventional ^jj+atrb+++=conventional
language ^nn+nom+++=language
learning ^vwbg+++xvbg+=learning
methods ^nns++++=methods
through ^in++++=through
the ^ati++++=the
introduction ^nn+nom+++=introduction
of ^in++++=of
new ^jj+atrb+++=new
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
enabling ^xvbg+++xvbg+=enabling
new ^jj+atrb+++=new
forms ^nns++++=forms
of ^in++++=of
communication ^nn+nom+++=communication
that ^tht+rel+subj++=that
allow ^vb++++=allow
students ^nns++++=students
to ^in++++=to
interact ^nn+++??+=interact
with ^in++++=with
their ^pp$+pp3+++=their
discourse ^nn++++=discourse
communities ^nns+nom+++=communities
during ^in++++=during
instruction ^nn+nom+++=instruction
( ^zz++++=(Bloch,
bloch ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
