Not ^xnot++not++=Not
all ^rb++++=all
enslaved ^vbd+++xvbn+=enslaved
individuals ^nns+nom+++=individuals
accepted ^vbd+vprv++xvbn+=accepted
their ^pp$+pp3+++=their
conditions ^nns+nom+++=conditions
passively ^rb++++=passively.
. ^zz++++=EXTRAWORD
Instances ^nns+nom+++=Instances
of ^in++++=of
resistance ^nn+nom+++=resistance
occurred ^vbd+++xvbn+=occurred
as ^ql++++=as
early ^jj++++=early
as ^ql++++=as
the ^ati++++=the
transatlantic ^jj+atrb+++=transatlantic
voyage ^nn++++=voyage,
, ^zz++++=EXTRAWORD
with ^in++++=with
documented ^vbd+++xvbn+=documented
cases ^nns++++=cases
of ^in++++=of
Africans ^nns+nom+++=Africans
seizing ^vwbg+++xvbg+=seizing
control ^nn++++=control
of ^in++++=of
slave ^nn++++=slave
ships ^nns++++=ships
and ^cc++++=and
attempting ^vb+++xvbg+=attempting
to ^to+vcmp+++=to
return ^vbi++++=return
to ^in++++=to
the ^ati++++=the
African ^jj+atrb+++=African
coast ^nn++++=coast.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
acts ^nns++++=acts
of ^in++++=of
escape ^nn++++=escape,
, ^zz++++=EXTRAWORD
revolt ^nn++++=revolt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resistance ^nn+nom+++=resistance
persisted ^vbd+++xvbn+=persisted
throughout ^in++++=throughout
the ^ati++++=the
entire ^jjb+atrb+++=entire
period ^nn++++=period
of ^in++++=of
slavery ^nn+nom+++=slavery.
. ^zz++++=EXTRAWORD
Fugitive ^jj+atrb+++=Fugitive
slaves ^nns++++=slaves
established ^vbd+vprv++xvbn+=established
quilombos ^nns+++??+=quilombos,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
settlements ^nns+nom+++=settlements
that ^tht+rel+subj++=that
varied ^vbd+++xvbn+=varied
in ^in++++=in
size ^nn++++=size,
, ^zz++++=EXTRAWORD
longevity ^nn+nom+++=longevity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
proximity ^nn+nom+++=proximity
to ^in++++=to
other ^ap++++=other
