Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial.
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
long ^jj++++=long-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
brownish ^jj+atrb+++=brownish
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
1 ^zz++++=1
3.5 ^cd++++=3.5
m ^zz++++=m
long ^rb++++=long;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
0.5 ^nn+++??+=0.5
2.5 ^cd++++=2.5
m ^zz++++=m
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
brown ^jj++++=brown
at ^rb++++=at
the ^ati++++=the
base ^nn++++=base
and ^cc++++=and
lighter ^jjr++++=lighter
brown ^jj++++=brown
distally ^rb+cnj+++=distally,
, ^zz++++=EXTRAWORD
with ^in++++=with
acicular ^nn+++??+=acicular
hairs ^nns++++=hairs
or ^cc++++=or
becoming ^jj+++xvbg+=becoming
glabrescent ^jj++++=glabrescent;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
0.5 ^nn+++??+=0.5
2 ^zz++++=2
m ^zz++++=m
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
proximally ^rb++++=proximally
3 ^zz++++=3-pinnate-pinnatifid
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
- ^zz++++=EXTRAWORD
pinnatifid ^nn+++??+=EXTRAWORD
to ^to++++=to
4 ^zz++++=4-pinnate;
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
light ^jj++++=light
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
pilose ^nn+++??+=pilose,
, ^zz++++=EXTRAWORD
with ^in++++=with
brownish ^jj+atrb+++=brownish
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
lacking ^jj+atrb++xvbg+=lacking
proliferous ^jj+atrb+++=proliferous
buds ^nns++++=buds;
; ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
pinnae ^nn+++??+=pinnae
25 ^cd++++=25
100 ^cd++++=100
cm ^nnu++++=cm
12 ^cd++++=12
35 ^cd++++=35
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
subequilateral ^jj++++=subequilateral;
; ^zz++++=EXTRAWORD
pinnules ^nns+++??+=pinnules
sessile ^nn+++??+=sessile,
, ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=lanceolate
to ^in++++=to
oblong ^jj++++=oblong,
, ^zz++++=EXTRAWORD
with ^in++++=with
dentate ^nn+nom+++=dentate
margins ^nns++++=margins;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
pilose ^nn+++??+=pilose
on ^in++++=on
both ^abx++++=both
abaxial ^jj+atrb+++=abaxial
and ^cc+phrs+++=and
adaxial ^jj+atrb+++=adaxial
surfaces ^nns++++=surfaces,
, ^zz++++=EXTRAWORD
with ^in++++=with
light ^jj++++=light
brown ^jj++++=brown
to ^in++++=to
reddish ^jj+atrb+++=reddish
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
costules ^nns+++??+=costules
similarly ^rb+cnj+++=similarly
pilose ^nn+++??+=pilose
on ^in++++=on
both ^abx++++=both
surfaces ^nns++++=surfaces,
, ^zz++++=EXTRAWORD
with ^in++++=with
light ^jj++++=light
brown ^jj++++=brown
to ^in++++=to
reddish ^jj+atrb+++=reddish
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
free ^jj++++=free,
, ^zz++++=EXTRAWORD
hirsute ^nn+++??+=hirsute
on ^in++++=on
both ^abx++++=both
surfaces ^nns++++=surfaces,
, ^zz++++=EXTRAWORD
with ^in++++=with
erect ^jj++++=erect,
, ^zz++++=EXTRAWORD
light ^jj++++=light
brown ^jj++++=brown
to ^in++++=to
reddish ^jj+atrb+++=reddish
acicular ^nn+++??+=acicular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
laminar ^nn+++??+=laminar
tissue ^nn++++=tissue
between ^in++++=between
veins ^nns++++=veins
on ^in++++=on
both ^abx++++=both
surfaces ^nns++++=surfaces
with ^in++++=with
catenate ^nn+nom+++=catenate
and ^cc++++=and
acicular ^nn+++??+=acicular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
sori ^nn+++??+=sori
oblong ^jj++++=oblong
or ^cc+phrs+++=or
rounded ^jj+++xvbn+=rounded,
, ^zz++++=EXTRAWORD
borne ^xvbn+++xvbn+=borne
at ^rb++++=at
the ^ati++++=the
tips ^nns++++=tips
of ^in++++=of
single ^jj+atrb+++=single
veins ^nns++++=veins,
, ^zz++++=EXTRAWORD
located ^xvbn+++xvbn+=located
in ^in++++=in
the ^ati++++=the
sinuses ^nns+++??+=sinuses
of ^in++++=of
segments ^nns+nom+++=segments;
; ^zz++++=EXTRAWORD
indusia ^nn+++??+=indusia
purse ^nn++++=purse-shaped,
- ^zz++++=EXTRAWORD
shaped ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
bearing ^vbg+++xvbg+=bearing
acicular ^nn++++=acicular
and ^cc++++=and
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs.
. ^zz++++=EXTRAWORD
