Cosmarium ^np+++??+=Cosmarium
norimbergense ^nn+++??+=norimbergense
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
depressum ^nn+++??+=depressum
is ^vbz+bez+aux++=is
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
the ^ati++++=the
nominal ^jj+atrb+++=nominal
variety ^nn++++=variety
by ^in++++=by
its ^pp$+it+++=its
vertically ^rb++++=vertically
compressed ^xvbn+++xvbn+=compressed
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
typically ^rb++++=typically
1.1 ^cd++++=1.1
to ^to++++=to
1.2 ^cd++++=1.2
times ^nns++++=times
longer ^rbr++++=longer
than ^cs+sub+++=than
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
broad ^jj+pred+++=broad
( ^zz++++=(Aquino
aquino ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
