Only ^rb+down+++=Only
a ^at++++=a
single ^jj+atrb+++=single
specimen ^nn++++=specimen
of ^in++++=of
this ^dt+dem+++=this
species ^nn++++=species
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
during ^in++++=during
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
exhibited ^vbd+++xvbn+=exhibited
some ^dti++++=some
morphological ^jj+atrb+++=morphological
differences ^nns+nom+++=differences
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
descriptions ^nns+nom+++=descriptions
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
Br ^np+++??+=Br
bisson ^nn+++??+=bisson
( ^zz++++=(1856)
1856 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Coesel ^np+++??+=Coesel
& ^zz++++=&
Meesters ^nns+nom++??+=Meesters
( ^zz++++=(2007).
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
specimen ^nn++++=specimen
observed ^vbd+++xvbn+=observed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
had ^vb+hv+vrb++=had
a ^at++++=a
slightly ^rb+down+++=slightly
convex ^nn+++??+=convex
middle ^jjb+atrb+++=middle
region ^nn++++=region
at ^in++++=at
the ^ati++++=the
apex ^nn++++=apex,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
a ^at++++=a
truncate ^nn+nom+++=truncate
form ^nn++++=form,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
displayed ^vbd+++xvbn+=displayed
concave ^nn++++=concave
apical ^jj+atrb+++=apical
angles ^nns++++=angles
instead ^rb+cnj+++=instead
of ^in++++=of
straight ^jj+atrb+++=straight
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
