Both ^abx++++=Both
languages ^nns+nom+++=languages
are ^vb+ber+aux++=are
classified ^vpsv++agls+xvbnx+=classified
within ^in++++=within
the ^ati++++=the
Arawakan ^np+nom++??+=Arawakan
family ^nn++++=family
( ^zz++++=(Payne,
payne ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1991 ^cd+date+++=1991;
; ^zz++++=EXTRAWORD
Aikhenvald ^np+++??+=Aikhenvald,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999;
; ^zz++++=EXTRAWORD
Ramirez ^np+++??+=Ramirez,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Brand ^nn++++=Brand
o ^zz++++=o,
, ^zz++++=EXTRAWORD
Carvalho ^np+++??+=Carvalho,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Pereira ^np+++??+=Pereira
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
Pereira ^np+++??+=Pereira
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
provide ^vb+vsua+++=provide
evidence ^nn+nom+++=evidence
that ^tht+rel+obj++=that
Enawene ^np+++??+=Enawene
Nawe ^np+++??+=Nawe
( ^zz++++=(EN)
en ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Paresi ^np+++??+=Paresi
are ^vb+ber+aux++=are
closely ^rb++splt++=closely
related ^vpsv++agls+xvbnx+=related
and ^cc++++=and,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
the ^ati++++=the
Saraveka ^np+++??+=Saraveka
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
constitute ^vb++++=constitute
a ^at++++=a
subgroup ^nn++++=subgroup
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
Juruena ^np+++??+=Juruena.
. ^zz++++=EXTRAWORD
In ^in++++=In
earlier ^jjr+atrb+++=earlier
classifications ^nns+nom+++=classifications
of ^in++++=of
the ^ati++++=the
Arawakan ^np+nom++??+=Arawakan
family ^nn++++=family,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
Fabre ^np+++??+=Fabre
( ^zz++++=(2005)
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
proposed ^vbd+vsua++xvbn+=proposed
a ^at++++=a
close ^jj+atrb+++=close
relationship ^nn+nom+++=relationship
between ^in++++=between
Paresi ^np+++??+=Paresi
and ^cc++++=and
Enawene ^np+++??+=Enawene
Nawe ^np+++??+=Nawe,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Payne ^np++++=Payne
( ^zz++++=(1991)
1991 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
grouped ^xvbn+++xvbn+=grouped
Paresi ^np+++??+=Paresi
with ^in++++=with
Waur ^np+++??+=Waur
in ^in++++=in
a ^at++++=a
Central ^jj+atrb+++=Central
group ^nn++++=group,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Aikhenvald ^np+++??+=Aikhenvald
( ^zz++++=(1999)
1999 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
classified ^vbd+++xvbn+=classified
Paresi ^np+++??+=Paresi
with ^in++++=with
the ^ati++++=the
xingu ^np++++=Xingu
languages ^nns+nom+++=languages
in ^in++++=in
a ^at++++=a
paresi ^np++++=Paresi-Xingu
- ^zz++++=EXTRAWORD
xingu ^nn++++=EXTRAWORD
branch ^nn++++=branch.
. ^zz++++=EXTRAWORD
