Systemic ^np+++??+=Systemic
treatments ^nns+nom+++=treatments
for ^in++++=for
pain ^nn++++=pain
management ^nn+nom+++=management
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
cancer ^nn++++=cancer
are ^vb+ber+vrb++=are
often ^rb++++=often
ineffective ^jj+pred+++=ineffective
in ^in++++=in
controlling ^xvbg+++xvbg+=controlling
pain ^nn++++=pain
associated ^vbd+++xvbn+=associated
with ^in++++=with
malignant ^jj+atrb+++=malignant
fungating ^jj+atrb++xvbg+=fungating
wounds ^nns++++=wounds,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
unique ^jj+atrb+++=unique
etiopathogenic ^nn++++=etiopathogenic
features ^nns++++=features
of ^in++++=of
these ^dt+dem+++=these
wounds ^nns++++=wounds
and ^cc++++=and
inadequate ^jj+atrb+++=inadequate
perfusion ^nn+++??+=perfusion
of ^in++++=of
superficial ^jj+atrb+++=superficial
tissues ^nns++++=tissues.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
clear ^jj+atrb+++=clear
evidence ^nn+nom+++=evidence
regarding ^in++++=regarding
the ^ati++++=the
efficacy ^nn+nom+++=efficacy
and ^cc++++=and
availability ^nn+nom+++=availability
of ^in++++=of
topical ^jj+atrb+++=topical
interventions ^nns+nom+++=interventions
for ^in++++=for
pain ^nn++++=pain
control ^nn++++=control
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context.
. ^zz++++=EXTRAWORD
